community	TP	FN	FP	Precision	Recall	F1	run
CL1	1	2	7	0.125	0.3333333333333333	0.18181818181818182	1
CL2	7	8	3	0.7	0.4666666666666667	0.56	1
CL3	1	1	2	0.3333333333333333	0.5	0.4	1
CL4	4	3	3	0.5714285714285714	0.5714285714285714	0.5714285714285714	1
CL5	17	0	0	1	1	1	1
CL6	0	3	8	0	0	NA	1
CL7	1	3	7	0.125	0.25	0.16666666666666666	1
CL1	4	2	4	0.5	0.6666666666666666	0.5714285714285715	2
CL2	8	5	5	0.6153846153846154	0.6153846153846154	0.6153846153846154	2
CL3	3	0	1	0.75	1	0.8571428571428571	2
CL4	7	1	2	0.7777777777777778	0.875	0.823529411764706	2
CL5	17	0	0	1	1	1	2
CL6	0	5	6	0	0	NA	2
CL7	7	0	4	0.6363636363636364	1	0.7777777777777778	2
CL1	1	9	0	1	0.1	0.18181818181818182	3
CL2	3	14	1	0.75	0.17647058823529413	0.2857142857142857	3
CL3	3	1	0	1	0.75	0.8571428571428571	3
CL4	1	9	0	1	0.1	0.18181818181818182	3
CL5	1	16	0	1	0.058823529411764705	0.1111111111111111	3
CL6	1	10	0	1	0.09090909090909091	0.16666666666666669	3
CL7	5	6	0	1	0.45454545454545453	0.625	3
CL1	2	4	4	0.3333333333333333	0.3333333333333333	0.3333333333333333	4
CL2	9	5	4	0.6923076923076923	0.6428571428571429	0.6666666666666666	4
CL3	3	0	1	0.75	1	0.8571428571428571	4
CL4	4	3	3	0.5714285714285714	0.5714285714285714	0.5714285714285714	4
CL5	17	0	0	1	1	1	4
CL6	1	6	4	0.2	0.14285714285714285	0.16666666666666666	4
CL7	5	3	3	0.625	0.625	0.625	4
CL1	5	2	3	0.625	0.7142857142857143	0.6666666666666666	5
CL2	8	10	0	1	0.4444444444444444	0.6153846153846153	5
CL3	4	0	0	1	1	1	5
CL4	2	3	5	0.2857142857142857	0.4	0.3333333333333333	5
CL5	2	10	5	0.2857142857142857	0.16666666666666666	0.2105263157894737	5
CL6	5	5	1	0.8333333333333334	0.5	0.625	5
CL7	7	3	1	0.875	0.7	0.7777777777777777	5
CL1	3	1	6	0.3333333333333333	0.75	0.46153846153846156	6
CL2	4	8	6	0.4	0.3333333333333333	0.3636363636363636	6
CL3	3	0	1	0.75	1	0.8571428571428571	6
CL4	4	2	4	0.5	0.6666666666666666	0.5714285714285715	6
CL5	16	1	0	1	0.9411764705882353	0.9696969696969697	6
CL6	0	2	9	0	0	NA	6
CL7	7	0	4	0.6363636363636364	1	0.7777777777777778	6
CL1	0	7	3	0	0	NA	7
CL2	5	7	6	0.45454545454545453	0.4166666666666667	0.43478260869565216	7
CL3	4	0	0	1	1	1	7
CL4	9	1	0	1	0.9	0.9473684210526316	7
CL5	12	5	0	1	0.7058823529411765	0.8275862068965517	7
CL6	2	5	4	0.3333333333333333	0.2857142857142857	0.30769230769230765	7
CL7	4	6	1	0.8	0.4	0.5333333333333333	7
CL1	4	5	1	0.8	0.4444444444444444	0.5714285714285714	8
CL2	11	7	0	1	0.6111111111111112	0.7586206896551725	8
CL3	4	0	0	1	1	1	8
CL4	1	5	4	0.2	0.16666666666666666	0.1818181818181818	8
CL5	8	7	2	0.8	0.5333333333333333	0.64	8
CL6	0	10	1	0	0	NA	8
CL7	5	5	1	0.8333333333333334	0.5	0.625	8
CL1	1	9	0	1	0.1	0.18181818181818182	9
CL2	8	8	2	0.8	0.5	0.6153846153846154	9
CL3	4	0	0	1	1	1	9
CL4	5	5	0	1	0.5	0.6666666666666666	9
CL5	4	12	1	0.8	0.25	0.38095238095238093	9
CL6	2	9	0	1	0.18181818181818182	0.3076923076923077	9
CL7	2	7	2	0.5	0.2222222222222222	0.30769230769230765	9
CL1	7	2	1	0.875	0.7777777777777778	0.823529411764706	10
CL2	13	5	0	1	0.7222222222222222	0.8387096774193548	10
CL3	3	1	0	1	0.75	0.8571428571428571	10
CL4	0	6	4	0	0	NA	10
CL5	6	8	3	0.6666666666666666	0.42857142857142855	0.5217391304347826	10
CL6	0	11	0	NA	0	NA	10
CL7	6	5	0	1	0.5454545454545454	0.7058823529411764	10
CL1	4	3	3	0.5714285714285714	0.5714285714285714	0.5714285714285714	11
CL2	5	8	5	0.5	0.38461538461538464	0.4347826086956522	11
CL3	3	0	1	0.75	1	0.8571428571428571	11
CL4	7	2	1	0.875	0.7777777777777778	0.823529411764706	11
CL5	16	1	0	1	0.9411764705882353	0.9696969696969697	11
CL6	0	4	7	0	0	NA	11
CL7	2	6	3	0.4	0.25	0.3076923076923077	11
CL1	0	7	3	0	0	NA	12
CL2	4	11	3	0.5714285714285714	0.26666666666666666	0.36363636363636365	12
CL3	3	1	0	1	0.75	0.8571428571428571	12
CL4	7	3	0	1	0.7	0.8235294117647058	12
CL5	1	13	3	0.25	0.07142857142857142	0.11111111111111112	12
CL6	0	9	2	0	0	NA	12
CL7	7	4	0	1	0.6363636363636364	0.7777777777777778	12
CL1	7	0	3	0.7	1	0.8235294117647058	13
CL2	9	7	2	0.8181818181818182	0.5625	0.6666666666666666	13
CL3	2	0	2	0.5	1	0.6666666666666666	13
CL4	0	3	7	0	0	NA	13
CL5	16	1	0	1	0.9411764705882353	0.9696969696969697	13
CL6	0	3	8	0	0	NA	13
CL7	3	2	6	0.3333333333333333	0.6	0.42857142857142855	13
CL1	5	1	4	0.5555555555555556	0.8333333333333334	0.6666666666666667	14
CL2	13	3	2	0.8666666666666667	0.8125	0.8387096774193549	14
CL3	2	0	2	0.5	1	0.6666666666666666	14
CL4	5	0	5	0.5	1	0.6666666666666666	14
CL5	16	0	1	0.9411764705882353	1	0.9696969696969697	14
CL6	2	4	5	0.2857142857142857	0.3333333333333333	0.30769230769230765	14
CL7	8	0	3	0.7272727272727273	1	0.8421052631578948	14
CL1	3	3	4	0.42857142857142855	0.5	0.4615384615384615	15
CL2	5	12	1	0.8333333333333334	0.29411764705882354	0.4347826086956522	15
CL3	4	0	0	1	1	1	15
CL4	2	7	1	0.6666666666666666	0.2222222222222222	0.3333333333333333	15
CL5	11	5	1	0.9166666666666666	0.6875	0.7857142857142857	15
CL6	0	8	3	0	0	NA	15
CL7	4	4	3	0.5714285714285714	0.5	0.5333333333333333	15
CL1	3	1	6	0.3333333333333333	0.75	0.46153846153846156	16
CL2	2	8	8	0.2	0.2	0.20000000000000004	16
CL3	3	0	1	0.75	1	0.8571428571428571	16
CL4	7	1	2	0.7777777777777778	0.875	0.823529411764706	16
CL5	16	0	1	0.9411764705882353	1	0.9696969696969697	16
CL6	4	2	5	0.4444444444444444	0.6666666666666666	0.5333333333333333	16
CL7	1	2	8	0.1111111111111111	0.3333333333333333	0.16666666666666666	16
CL1	6	1	3	0.6666666666666666	0.8571428571428571	0.75	17
CL2	7	7	4	0.6363636363636364	0.5	0.56	17
CL3	3	0	1	0.75	1	0.8571428571428571	17
CL4	6	1	3	0.6666666666666666	0.8571428571428571	0.75	17
CL5	17	0	0	1	1	1	17
CL6	0	1	10	0	0	NA	17
CL7	3	1	7	0.3	0.75	0.4285714285714285	17
CL1	4	3	3	0.5714285714285714	0.5714285714285714	0.5714285714285714	18
CL2	7	10	1	0.875	0.4117647058823529	0.56	18
CL3	3	0	1	0.75	1	0.8571428571428571	18
CL4	7	2	1	0.875	0.7777777777777778	0.823529411764706	18
CL5	10	4	3	0.7692307692307693	0.7142857142857143	0.7407407407407408	18
CL6	1	5	5	0.16666666666666666	0.16666666666666666	0.16666666666666666	18
CL7	7	3	1	0.875	0.7	0.7777777777777777	18
CL1	3	0	7	0.3	1	0.4615384615384615	19
CL2	9	5	4	0.6923076923076923	0.6428571428571429	0.6666666666666666	19
CL3	3	0	1	0.75	1	0.8571428571428571	19
CL4	6	3	1	0.8571428571428571	0.6666666666666666	0.75	19
CL5	16	0	1	0.9411764705882353	1	0.9696969696969697	19
CL6	2	2	7	0.2222222222222222	0.5	0.30769230769230765	19
CL7	4	3	4	0.5	0.5714285714285714	0.5333333333333333	19
CL1	5	3	2	0.7142857142857143	0.625	0.6666666666666666	20
CL2	13	2	3	0.8125	0.8666666666666667	0.8387096774193549	20
CL3	4	0	0	1	1	1	20
CL4	0	2	8	0	0	NA	20
CL5	16	0	1	0.9411764705882353	1	0.9696969696969697	20
CL6	2	5	4	0.3333333333333333	0.2857142857142857	0.30769230769230765	20
CL7	5	1	5	0.5	0.8333333333333334	0.625	20
CL1	4	1	5	0.4444444444444444	0.8	0.5714285714285714	21
CL2	4	12	2	0.6666666666666666	0.25	0.36363636363636365	21
CL3	1	0	3	0.25	1	0.4	21
CL4	6	1	3	0.6666666666666666	0.8571428571428571	0.75	21
CL5	15	1	1	0.9375	0.9375	0.9375	21
CL6	0	4	7	0	0	NA	21
CL7	5	1	5	0.5	0.8333333333333334	0.625	21
CL1	0	6	4	0	0	NA	22
CL2	12	5	1	0.9230769230769231	0.7058823529411765	0.8000000000000002	22
CL3	4	0	0	1	1	1	22
CL4	5	4	1	0.8333333333333334	0.5555555555555556	0.6666666666666667	22
CL5	10	6	1	0.9090909090909091	0.625	0.7407407407407406	22
CL6	2	8	1	0.6666666666666666	0.2	0.30769230769230765	22
CL7	4	4	3	0.5714285714285714	0.5	0.5333333333333333	22
CL1	4	4	2	0.6666666666666666	0.5	0.5714285714285715	23
CL2	12	5	1	0.9230769230769231	0.7058823529411765	0.8000000000000002	23
CL3	4	0	0	1	1	1	23
CL4	1	3	6	0.14285714285714285	0.25	0.18181818181818182	23
CL5	15	2	0	1	0.8823529411764706	0.9375	23
CL6	4	3	4	0.5	0.5714285714285714	0.5333333333333333	23
CL7	6	2	3	0.6666666666666666	0.75	0.7058823529411765	23
CL1	2	2	6	0.25	0.5	0.3333333333333333	24
CL2	14	2	2	0.875	0.875	0.875	24
CL3	3	0	1	0.75	1	0.8571428571428571	24
CL4	4	2	4	0.5	0.6666666666666666	0.5714285714285715	24
CL5	17	0	0	1	1	1	24
CL6	3	2	6	0.3333333333333333	0.6	0.42857142857142855	24
CL7	6	0	5	0.5454545454545454	1	0.7058823529411764	24
CL1	5	3	2	0.7142857142857143	0.625	0.6666666666666666	25
CL2	2	13	3	0.4	0.13333333333333333	0.2	25
CL3	3	1	0	1	0.75	0.8571428571428571	25
CL4	7	1	2	0.7777777777777778	0.875	0.823529411764706	25
CL5	7	9	1	0.875	0.4375	0.5833333333333334	25
CL6	3	8	0	1	0.2727272727272727	0.42857142857142855	25
CL7	4	5	2	0.6666666666666666	0.4444444444444444	0.5333333333333333	25
CL1	1	3	6	0.14285714285714285	0.25	0.18181818181818182	26
CL2	13	4	1	0.9285714285714286	0.7647058823529411	0.8387096774193549	26
CL3	3	0	1	0.75	1	0.8571428571428571	26
CL4	6	3	1	0.8571428571428571	0.6666666666666666	0.75	26
CL5	16	1	0	1	0.9411764705882353	0.9696969696969697	26
CL6	0	6	5	0	0	NA	26
CL7	5	2	4	0.5555555555555556	0.7142857142857143	0.6250000000000001	26
CL1	4	5	1	0.8	0.4444444444444444	0.5714285714285714	27
CL2	8	9	1	0.8888888888888888	0.47058823529411764	0.6153846153846153	27
CL3	3	0	1	0.75	1	0.8571428571428571	27
CL4	3	4	3	0.5	0.42857142857142855	0.4615384615384615	27
CL5	12	4	1	0.9230769230769231	0.75	0.8275862068965517	27
CL6	4	5	2	0.6666666666666666	0.4444444444444444	0.5333333333333333	27
CL7	4	5	2	0.6666666666666666	0.4444444444444444	0.5333333333333333	27
CL1	2	0	8	0.2	1	0.33333333333333337	28
CL2	0	11	7	0	0	NA	28
CL3	4	0	0	1	1	1	28
CL4	6	0	4	0.6	1	0.7499999999999999	28
CL5	17	0	0	1	1	1	28
CL6	0	0	11	0	NA	NA	28
CL7	3	1	7	0.3	0.75	0.4285714285714285	28
CL1	6	1	3	0.6666666666666666	0.8571428571428571	0.75	29
CL2	15	1	2	0.8823529411764706	0.9375	0.9090909090909091	29
CL3	2	0	2	0.5	1	0.6666666666666666	29
CL4	1	3	6	0.14285714285714285	0.25	0.18181818181818182	29
CL5	14	2	1	0.9333333333333333	0.875	0.9032258064516129	29
CL6	0	8	3	0	0	NA	29
CL7	9	0	2	0.8181818181818182	1	0.9	29
CL1	6	4	0	1	0.6	0.7499999999999999	30
CL2	14	4	0	1	0.7777777777777778	0.8750000000000001	30
CL3	3	0	1	0.75	1	0.8571428571428571	30
CL4	3	2	5	0.375	0.6	0.4615384615384615	30
CL5	11	5	1	0.9166666666666666	0.6875	0.7857142857142857	30
CL6	3	6	2	0.6	0.3333333333333333	0.42857142857142855	30
CL7	4	4	3	0.5714285714285714	0.5	0.5333333333333333	30
CL1	4	5	1	0.8	0.4444444444444444	0.5714285714285714	31
CL2	6	9	3	0.6666666666666666	0.4	0.5	31
CL3	3	0	1	0.75	1	0.8571428571428571	31
CL4	0	7	3	0	0	NA	31
CL5	11	5	1	0.9166666666666666	0.6875	0.7857142857142857	31
CL6	1	8	2	0.3333333333333333	0.1111111111111111	0.16666666666666666	31
CL7	7	4	0	1	0.6363636363636364	0.7777777777777778	31
CL1	3	6	1	0.75	0.3333333333333333	0.46153846153846156	32
CL2	7	10	1	0.875	0.4117647058823529	0.56	32
CL3	3	1	0	1	0.75	0.8571428571428571	32
CL4	1	9	0	1	0.1	0.18181818181818182	32
CL5	7	9	1	0.875	0.4375	0.5833333333333334	32
CL6	4	7	0	1	0.36363636363636365	0.5333333333333333	32
CL7	5	5	1	0.8333333333333334	0.5	0.625	32
CL1	4	4	2	0.6666666666666666	0.5	0.5714285714285715	33
CL2	3	14	1	0.75	0.17647058823529413	0.2857142857142857	33
CL3	4	0	0	1	1	1	33
CL4	4	3	3	0.5714285714285714	0.5714285714285714	0.5714285714285714	33
CL5	11	5	1	0.9166666666666666	0.6875	0.7857142857142857	33
CL6	0	8	3	0	0	NA	33
CL7	5	4	2	0.7142857142857143	0.5555555555555556	0.6250000000000001	33
CL1	5	0	5	0.5	1	0.6666666666666666	34
CL2	8	4	6	0.5714285714285714	0.6666666666666666	0.6153846153846153	34
CL3	3	0	1	0.75	1	0.8571428571428571	34
CL4	7	0	3	0.7	1	0.8235294117647058	34
CL5	15	1	1	0.9375	0.9375	0.9375	34
CL6	1	3	7	0.125	0.25	0.16666666666666666	34
CL7	9	0	2	0.8181818181818182	1	0.9	34
CL1	5	3	2	0.7142857142857143	0.625	0.6666666666666666	35
CL2	2	11	5	0.2857142857142857	0.15384615384615385	0.2	35
CL3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	35
CL4	8	1	1	0.8888888888888888	0.8888888888888888	0.8888888888888888	35
CL5	10	7	0	1	0.5882352941176471	0.7407407407407407	35
CL6	0	8	3	0	0	NA	35
CL7	2	7	2	0.5	0.2222222222222222	0.30769230769230765	35
CL1	5	4	1	0.8333333333333334	0.5555555555555556	0.6666666666666667	36
CL2	4	11	3	0.5714285714285714	0.26666666666666666	0.36363636363636365	36
CL3	3	0	1	0.75	1	0.8571428571428571	36
CL4	6	2	2	0.75	0.75	0.75	36
CL5	14	3	0	1	0.8235294117647058	0.9032258064516129	36
CL6	2	7	2	0.5	0.2222222222222222	0.30769230769230765	36
CL7	7	2	2	0.7777777777777778	0.7777777777777778	0.7777777777777778	36
CL1	4	6	0	1	0.4	0.5714285714285715	37
CL2	12	6	0	1	0.6666666666666666	0.8	37
CL3	4	0	0	1	1	1	37
CL4	0	6	4	0	0	NA	37
CL5	0	16	1	0	0	NA	37
CL6	0	11	0	NA	0	NA	37
CL7	5	6	0	1	0.45454545454545453	0.625	37
