run	community	jaccard_index	intersection	sign_length
run_1	CL1	0.25	5	12
run_1	CL2	0.5263157894736842	10	11
run_1	CL3	0.09090909090909091	4	28
run_1	CL4	0.09523809523809523	2	16
run_1	CL5	0.23404255319148937	11	27
run_1	CL6	0.17647058823529413	3	11
run_1	CL7	0.16666666666666666	4	21
run_2	CL1	0.23076923076923078	6	12
run_2	CL2	0.2	6	11
run_2	CL3	0.14705882352941177	10	28
run_2	CL4	0.25	7	16
run_2	CL5	0.27906976744186046	12	27
run_2	CL6	0.38461538461538464	5	11
run_2	CL7	0.42424242424242425	14	21
run_3	CL1	0.16666666666666666	3	12
run_3	CL2	0.21052631578947367	4	11
run_3	CL3	0.13636363636363635	6	28
run_3	CL4	0.1875	3	16
run_3	CL5	0.21212121212121213	7	27
run_3	CL6	0.13333333333333333	2	11
run_3	CL7	0.3448275862068966	10	21
run_4	CL1	0.15384615384615385	4	12
run_4	CL2	0.23809523809523808	5	11
run_4	CL3	0.20408163265306123	10	28
run_4	CL4	0.3448275862068966	10	16
run_4	CL5	0.23529411764705882	8	27
run_4	CL6	0.3125	5	11
run_4	CL7	0.34285714285714286	12	21
run_5	CL1	0.18181818181818182	4	12
run_5	CL2	0.34782608695652173	8	11
run_5	CL3	0.1323529411764706	9	28
run_5	CL4	0.18181818181818182	4	16
run_5	CL5	0.15625	5	27
run_5	CL6	0.30434782608695654	7	11
run_5	CL7	0.358974358974359	14	21
run_6	CL1	0.42105263157894735	8	12
run_6	CL2	0.5384615384615384	7	11
run_6	CL3	0.14634146341463414	6	28
run_6	CL4	0.2962962962962963	8	16
run_6	CL5	0.2972972972972973	11	27
run_6	CL6	0.3888888888888889	7	11
run_6	CL7	0.2857142857142857	14	21
run_7	CL1	0.2	3	12
run_7	CL2	0.5	8	11
run_7	CL3	0.17543859649122806	10	28
run_7	CL4	0.3548387096774194	11	16
run_7	CL5	0.3055555555555556	11	27
run_7	CL6	0.20833333333333334	5	11
run_7	CL7	0.3235294117647059	11	21
run_8	CL1	0.2222222222222222	4	12
run_8	CL2	0.3333333333333333	10	11
run_8	CL3	0.21428571428571427	12	28
run_8	CL4	0.16666666666666666	3	16
run_8	CL5	0.2647058823529412	9	27
run_8	CL6	0.07692307692307693	1	11
run_8	CL7	0.36	9	21
run_9	CL1	0.26666666666666666	4	12
run_9	CL2	0.38095238095238093	8	11
run_9	CL3	0.16666666666666666	9	28
run_9	CL4	0.3157894736842105	6	16
run_9	CL5	0.1875	6	27
run_9	CL6	0.1111111111111111	2	11
run_9	CL7	0.2962962962962963	8	21
run_10	CL1	0.14285714285714285	5	12
run_10	CL2	0.4166666666666667	10	11
run_10	CL3	0.23404255319148937	11	28
run_10	CL4	0.058823529411764705	1	16
run_10	CL5	0.22857142857142856	8	27
run_10	CL6	0.3333333333333333	4	11
run_10	CL7	0.36	9	21
run_11	CL1	0.03571428571428571	1	12
run_11	CL2	0.35294117647058826	6	11
run_11	CL3	0.11320754716981132	6	28
run_11	CL4	0.28	7	16
run_11	CL5	0.25	10	27
run_11	CL6	0.14285714285714285	2	11
run_11	CL7	0.3333333333333333	8	21
run_12	CL1	0.06666666666666667	1	12
run_12	CL2	0.35714285714285715	5	11
run_12	CL3	0.15	6	28
run_12	CL4	0.30303030303030304	10	16
run_12	CL5	0.09090909090909091	3	27
run_12	CL6	0.2222222222222222	4	11
run_12	CL7	0.5416666666666666	13	21
run_13	CL1	0.2692307692307692	7	12
run_13	CL2	0.2692307692307692	7	11
run_13	CL3	0.17647058823529413	9	28
run_13	CL4	0	0	16
run_13	CL5	0.2765957446808511	13	27
run_13	CL6	0.125	2	11
run_13	CL7	0.4230769230769231	11	21
run_14	CL1	0.3684210526315789	7	12
run_14	CL2	0.30303030303030304	10	11
run_14	CL3	0.14583333333333334	7	28
run_14	CL4	0.35714285714285715	10	16
run_14	CL5	0.2702702702702703	10	27
run_14	CL6	0.17391304347826086	4	11
run_14	CL7	0.3409090909090909	15	21
run_15	CL1	0.18181818181818182	4	12
run_15	CL2	0.15789473684210525	3	11
run_15	CL3	0.15873015873015872	10	28
run_15	CL4	0.4117647058823529	7	16
run_15	CL5	0.27586206896551724	8	27
run_15	CL6	0.08333333333333333	1	11
run_15	CL7	0.2916666666666667	7	21
run_16	CL1	0.12903225806451613	4	12
run_16	CL2	0.1875	3	11
run_16	CL3	0.23255813953488372	10	28
run_16	CL4	0.20754716981132076	11	16
run_16	CL5	0.3333333333333333	16	27
run_16	CL6	0.20588235294117646	7	11
run_16	CL7	0.38461538461538464	10	21
run_17	CL1	0.24	6	12
run_17	CL2	0.6	9	11
run_17	CL3	0.12962962962962962	7	28
run_17	CL4	0.3103448275862069	9	16
run_17	CL5	0.3076923076923077	16	27
run_17	CL6	0.25	4	11
run_17	CL7	0.4074074074074074	11	21
run_18	CL1	0.05555555555555555	1	12
run_18	CL2	0.26666666666666666	4	11
run_18	CL3	0.23404255319148937	11	28
run_18	CL4	0.15384615384615385	4	16
