run_id	pvalue_KM	n_sign_KM	enriching_signatures	p_value_adj_KM
shuffling_5perc_1	0.06570343782957716	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.24126901667783263
shuffling_5perc_2	0.0910132310690943	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.2434927889669671
shuffling_5perc_3	0.034374091690444586	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.22618152332312538
shuffling_5perc_4	0.04381514014011924	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.22798447401579405
shuffling_5perc_5	0.09086337104155498	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.2434927889669671
shuffling_5perc_6	0.014870695118537157	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.1761783794763047
shuffling_5perc_7	0.10221449721375435	6	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4;Comm_6	0.24967481587071183
shuffling_5perc_8	0.09268108812191443	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.2434927889669671
shuffling_5perc_9	0.1867875914227786	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4	0.3151441927081752
shuffling_5perc_10	0.15312844369001438	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3	0.28624578394326555
shuffling_5perc_11	0.05785172431604649	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.2349779913577691
shuffling_5perc_12	0.07300917196539204	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.24126901667783263
shuffling_5perc_13	0.1158799983618737	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.2611268456236743
shuffling_5perc_14	0.08387229289250585	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.24126901667783263
shuffling_5perc_15	0.0833704189361058	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.24126901667783263
shuffling_5perc_16	0.06659576742536277	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.24126901667783263
shuffling_5perc_17	0.12125548867520693	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.26159627833322874
shuffling_5perc_18	0.001850158004286894	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.050725165284199014
shuffling_5perc_19	0.274664107962724	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.3629096044969325
shuffling_5perc_20	0.12004402113115661	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.26159627833322874
shuffling_5perc_21	0.06799588350109538	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.24126901667783263
shuffling_5perc_22	0.04652956467068959	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4	0.23117533052231898
shuffling_5perc_23	0.13477961298378724	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.26976790851258403
shuffling_5perc_24	0.12977669869219904	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3	0.2651958625449285
shuffling_5perc_25	0.2304390053483727	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.3369530344871761
shuffling_5perc_26	0.10310085859481302	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.24967481587071183
shuffling_5perc_27	0.16629994385990787	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.2989764018027852
