run	community	jaccard_index	intersection	sign_length	perc_sign
5perc_1	community_1	0.9166666666666666	11	12	91.66666666666666
5perc_1	community_2	1	11	11	100
5perc_1	community_3	0.9642857142857143	27	28	96.42857142857143
5perc_1	community_4	1	16	16	100
5perc_1	community_5	1	27	27	100
5perc_1	community_6	1	11	11	100
5perc_1	community_7	0.9523809523809523	20	21	95.23809523809523
5perc_2	community_1	0.9166666666666666	11	12	91.66666666666666
5perc_2	community_2	0.9166666666666666	11	11	100
5perc_2	community_3	1	28	28	100
5perc_2	community_4	0.9375	15	16	93.75
5perc_2	community_5	0.8888888888888888	24	27	88.88888888888889
5perc_2	community_6	0.8333333333333334	10	11	90.9090909090909
5perc_2	community_7	0.8571428571428571	18	21	85.71428571428571
5perc_3	community_1	0.8461538461538461	11	12	91.66666666666666
5perc_3	community_2	0.9090909090909091	10	11	90.9090909090909
5perc_3	community_3	0.9310344827586207	27	28	96.42857142857143
5perc_3	community_4	1	16	16	100
5perc_3	community_5	0.9629629629629629	26	27	96.29629629629629
5perc_3	community_6	1	11	11	100
5perc_3	community_7	0.9523809523809523	20	21	95.23809523809523
5perc_4	community_1	0.8333333333333334	10	12	83.33333333333334
5perc_4	community_2	1	11	11	100
5perc_4	community_3	1	28	28	100
5perc_4	community_4	1	16	16	100
5perc_4	community_5	0.8928571428571429	25	27	92.5925925925926
5perc_4	community_6	0.8333333333333334	10	11	90.9090909090909
5perc_4	community_7	0.9047619047619048	19	21	90.47619047619048
5perc_5	community_1	1	12	12	100
5perc_5	community_2	0.9090909090909091	10	11	90.9090909090909
5perc_5	community_3	0.9285714285714286	26	28	92.85714285714286
5perc_5	community_4	0.9375	15	16	93.75
5perc_5	community_5	1	27	27	100
5perc_5	community_6	0.9090909090909091	10	11	90.9090909090909
5perc_5	community_7	1	21	21	100
5perc_6	community_1	0.8333333333333334	10	12	83.33333333333334
5perc_6	community_2	1	11	11	100
5perc_6	community_3	1	28	28	100
5perc_6	community_4	1	16	16	100
5perc_6	community_5	1	27	27	100
5perc_6	community_6	0.8333333333333334	10	11	90.9090909090909
5perc_6	community_7	1	21	21	100
5perc_7	community_1	0.9166666666666666	11	12	91.66666666666666
5perc_7	community_2	1	11	11	100
5perc_7	community_3	0.9642857142857143	27	28	96.42857142857143
5perc_7	community_4	1	16	16	100
5perc_7	community_5	0.9285714285714286	26	27	96.29629629629629
5perc_7	community_6	0.9166666666666666	11	11	100
5perc_7	community_7	0.9047619047619048	19	21	90.47619047619048
5perc_8	community_1	1	12	12	100
5perc_8	community_2	1	11	11	100
5perc_8	community_3	0.9655172413793104	28	28	100
5perc_8	community_4	0.7647058823529411	13	16	81.25
5perc_8	community_5	0.9629629629629629	26	27	96.29629629629629
5perc_8	community_6	0.9090909090909091	10	11	90.9090909090909
5perc_8	community_7	0.9090909090909091	20	21	95.23809523809523
5perc_9	community_1	1	12	12	100
5perc_9	community_2	0.9090909090909091	10	11	90.9090909090909
5perc_9	community_3	0.8928571428571429	25	28	89.28571428571429
5perc_9	community_4	0.875	14	16	87.5
5perc_9	community_5	0.9259259259259259	25	27	92.5925925925926
5perc_9	community_6	0.9090909090909091	10	11	90.9090909090909
5perc_9	community_7	1	21	21	100
5perc_10	community_1	0.8333333333333334	10	12	83.33333333333334
5perc_10	community_2	1	11	11	100
5perc_10	community_3	0.8571428571428571	24	28	85.71428571428571
5perc_10	community_4	1	16	16	100
5perc_10	community_5	0.9259259259259259	25	27	92.5925925925926
5perc_10	community_6	1	11	11	100
5perc_10	community_7	0.9523809523809523	20	21	95.23809523809523
5perc_11	community_1	0.9230769230769231	12	12	100
5perc_11	community_2	0.9090909090909091	10	11	90.9090909090909
5perc_11	community_3	0.9310344827586207	27	28	96.42857142857143
5perc_11	community_4	0.9375	15	16	93.75
5perc_11	community_5	0.9259259259259259	25	27	92.5925925925926
5perc_11	community_6	1	11	11	100
5perc_11	community_7	0.8636363636363636	19	21	90.47619047619048
5perc_12	community_1	1	12	12	100
5perc_12	community_2	0.9166666666666666	11	11	100
5perc_12	community_3	0.9642857142857143	27	28	96.42857142857143
5perc_12	community_4	1	16	16	100
5perc_12	community_5	0.9259259259259259	25	27	92.5925925925926
5perc_12	community_6	1	11	11	100
5perc_12	community_7	0.8571428571428571	18	21	85.71428571428571
