run	avg_cosine	avg_pearson	pvalue_KM	n_sign_KM	enriching_signatures	p_value_adj_KM
100perc_1	0.48235056275034865	-0.2888161284950977	0.30155761833026523	3	Comm_1;Comm_6;Comm_4	0.383059677338445
100perc_10	0.8844387218198827	0.9788389158235427	NA	1	Comm_1	NA
100perc_11	0.6944217062199275	0.12725695259515551	NA	1	Comm_3	NA
100perc_12	0.19700649444818036	-0.7475906140495181	0.15729920705028447	2	Comm_6;Comm_7	0.28911418502538316
100perc_14	0.4774511824014406	-0.26016625541467453	0.8017282903859891	3	Comm_2;Comm_4;Comm_1	0.8454122036442001
100perc_15	0.7199089475472014	0.486348088219458	0.7316005889599017	2	Comm_6;Comm_5	0.7865901757117897
100perc_16	NA	NA	NA	0	NA	NA
100perc_17	0.7348312142816961	0.3643371408171686	1	2	Comm_7;Comm_1	1
100perc_18	0.6084833237623539	-0.35610947143487537	0.9150631652809268	3	Comm_7;Comm_2;Comm_3	0.9398523062697708
100perc_19	0.47984761272584536	-0.04663246265663956	0.1029118494825466	3	Comm_1;Comm_7;Comm_3	0.24967481587071183
100perc_2	0.2959431635705226	-0.6161269280057877	NA	1	Comm_4	NA
100perc_21	0.8021834276616728	0.6085432478127994	0.43857802608099983	2	Comm_6;Comm_1	0.5027601762391949
100perc_22	0.7468836823794657	-0.1076244005001264	NA	1	Comm_5	NA
100perc_23	0.6316869182024338	-0.3031494003452734	0.24998208026109128	2	Comm_1;Comm_6	0.3499596012613411
100perc_24	0.8405538703858181	0.6697951611527841	0.7025688831885417	3	Comm_1;Comm_4;Comm_6	0.7653813330100337
100perc_25	0.6214599300775367	0.08060478971669628	NA	1	Comm_4	NA
100perc_26	0.3652144291631851	-0.3486772767656541	0.9169987547495332	3	Comm_2;Comm_6;Comm_5	0.9398523062697708
100perc_27	0.6955921383617918	-0.019087754560078635	0.1926942485079943	2	Comm_5;Comm_6	0.3172257308547018
100perc_28	0.8829975091205934	0.7679881673845752	NA	1	Comm_7	NA
100perc_29	0.7166370446806158	-0.09491439468100903	0.8187307530779819	3	Comm_6;Comm_3;Comm_5	0.857842094785529
100perc_30	0.6684239464272244	0.33812122380759113	0.28344533411050976	2	Comm_5;Comm_1	0.3671398225289673
100perc_31	0.9360807118659669	0.9307144612914778	1	2	Comm_1;Comm_2	1
100perc_32	0.8581383516948323	0.5768521123583301	0.00150343919297757	3	Comm_6;Comm_1;Comm_5	0.04496649949905644
100perc_33	0.8683107577405474	0.6338025803772017	NA	1	Comm_1	NA
100perc_34	0.8094371586941937	0.2031702035711913	1	2	Comm_6;Comm_3	1
100perc_35	0.7245268910030366	0.2510899947933939	0.5783251370491357	3	Comm_5;Comm_6;Comm_7	0.6428005746255595
100perc_36	0.5398344513670373	-0.40136391435662294	0.6872892787909722	3	Comm_3;Comm_5;Comm_4	0.7512231651901324
100perc_37	0.5177967905964795	0.07996804835515667	0.12845849310614596	3	Comm_2;Comm_6;Comm_1	0.2641427764495126
100perc_38	0.5235326831293543	-0.19489069459088365	0.7636432909418289	2	Comm_2;Comm_6	0.8130700411646009
100perc_39	0.6803140851078326	0.020964319953561007	0.4786620071671477	3	Comm_6;Comm_2;Comm_3	0.5411676988247134
100perc_4	0.8301043267957583	0.3553862353825431	NA	1	Comm_5	NA
100perc_40	0.7072132580712471	0.31803857437193095	0.23742977860108264	2	Comm_7;Comm_3	0.34260700508664993
100perc_41	NA	NA	NA	0	NA	NA
100perc_42	0.6849348892187752	0.027874733666902962	NA	1	Comm_4	NA
100perc_43	0.7546618909082567	0.1357255702747559	0.3883232289789249	2	Comm_4;Comm_1	0.4562797940502367
100perc_44	0.8557410064369546	0.6449567593561312	0.28236164832300076	4	Comm_5;Comm_4;Comm_1;Comm_3	0.3671398225289673
100perc_45	0.31137423286782634	-0.6907388444779455	NA	1	Comm_4	NA
100perc_46	0.885734434345462	0.7918514952147658	NA	1	Comm_3	NA
100perc_47	0.04741046559307605	-0.5368754921931593	NA	1	Comm_7	NA
100perc_49	0.2962310863807152	-0.5170774489110733	NA	1	Comm_2	NA
100perc_5	0.11203623273138949	-0.621349649383001	0.5289776516245056	3	Comm_7;Comm_4;Comm_3	0.5960056417276107
100perc_50	0.6845745714952124	0.277944920612319	0.1429190269666845	3	Comm_3;Comm_1;Comm_7	0.2754607521555142
100perc_6	0.38702648465277784	-0.480965484065871	0.7225770468181869	5	Comm_1;Comm_7;Comm_3;Comm_6;Comm_4	0.7794355685350278
100perc_7	0.8092584181215532	0.281619447916591	0.92764600960498	4	Comm_5;Comm_4;Comm_1;Comm_6	0.947730915200096
100perc_8	NA	NA	NA	0	NA	NA
10perc_1	0.8151170101258256	0.6007252449256982	0.07419849006514483	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.24126901667783263
10perc_10	0.8184839380021504	0.48667303271970597	0.18044664804796337	7	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4;Comm_6	0.31245761688305235
10perc_11	0.853340840899439	0.6537576006260144	0.00805572882120893	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4	0.13251673910888692
10perc_12	0.8492415458437992	0.6104214914445599	0.07497610446126479	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.24126901667783263
10perc_13	0.8912352342035511	0.652646839235523	0.16499790594465177	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4	0.29826544536148586
10perc_14	0.8681212341257794	0.4018419048411057	0.01707010127710247	7	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4;Comm_6	0.18353589569256085
10perc_15	0.8424717516202113	0.6433659354517596	0.10591914671003712	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3	0.2518990714171174
10perc_16	0.8645480014241685	0.6628021866682561	0.13871924236860086	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.27005106946313423
10perc_17	0.9066823727647888	0.46474214142525666	0.09790807042142602	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.247782732066532
10perc_18	0.8626379137895431	0.31438086902908735	0.2761681299595726	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.3634372590267975
10perc_19	0.8862263210239056	0.45710978245145684	0.02375556446602551	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.19486760830739444
10perc_2	0.8846319580836123	0.6922154296704692	0.25975953810064334	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.3535944382374974
10perc_20	0.883388910410532	0.7075686228044537	0.09890330978041022	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3	0.24839075509736613
10perc_21	0.8746898509485107	0.2737646595035505	0.06251195925679259	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.24126901667783263
10perc_22	0.8706692079325351	0.6806855995161165	0.22689680891695416	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.3369530344871761
10perc_23	0.8416800889200199	0.3661839702679512	0.12579795212853975	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.2632367621991704
10perc_24	0.8805453126591007	0.5400234179224057	0.23574237999858164	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.34167067409486057
10perc_25	0.8789320238788003	0.6724310547866155	0.19284238957732633	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3	0.3172257308547018
10perc_26	0.9067846633106414	0.8497168343249493	0.01142510119235232	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.17085719510381425
10perc_27	0.8743348591701074	0.6612775233320645	0.1726633440429043	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.3033632666593322
10perc_28	0.8491091532948986	0.24700432866100072	0.06427659791672775	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.24126901667783263
10perc_29	0.9025687774659447	0.46830600313570914	0.04316853083689494	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.22798447401579405
10perc_3	0.889142041772589	0.3999506569887347	0.0129770990262497	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.17273896166826114
10perc_30	0.8658601922120913	0.2598975783164962	0.11303667124593364	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.25851168117590345
10perc_31	0.8556719662866326	0.6225863448171194	0.3461377977022283	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.42811780242117714
10perc_32	0.9082983473986648	0.47371349558308207	0.02507028658691973	5	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4	0.19486760830739444
10perc_33	0.8452092878860653	0.39225410190994964	0.02349320046291778	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.19486760830739444
10perc_34	0.8850670858972444	0.6536453055210434	0.17067351085061272	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3	0.3033632666593322
10perc_35	0.7567448786918063	0.4247186539591524	0.01729365582513491	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.18353589569256085
10perc_36	0.835064384504626	0.45443767899194043	0.0932525574767108	7	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3;Comm_6	0.2434927889669671
10perc_37	0.8435936909949823	0.33051339301269267	4.769038146628846e-4	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.02241447928915557
10perc_38	0.8286391941210004	0.328547851230718	0.13775382562344718	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.26976790851258403
10perc_39	0.8224502543021116	0.5104588727582975	0.2197694449961644	7	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4;Comm_6	0.3338302730497586
10perc_4	0.8376353457292077	0.3092121837253158	0.08123574510781219	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.24126901667783263
10perc_40	0.8376908358626071	0.5866837061460825	0.02192399206440583	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.19486760830739444
10perc_41	0.8822910780588662	0.7268724048975939	0.2633150071981364	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3	0.3535944382374974
10perc_42	0.8194571554790183	0.32150053251309524	0.0145605338599061	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.1761783794763047
