UNIPROT,gene_name,mf,final_score,method
P10275,AR,tf,3.0272568333432734,VIPER
P18848,ATF4,tf,2.453214381216468,VIPER
P18850,ATF6,tf,3.746449673792198,VIPER
Q99626,CDX2,tf,-3.7081810059010563,VIPER
O00716,E2F3,tf,2.4504681294967385,VIPER
Q16254,E2F4,tf,9.237848093840942,VIPER
P19419,ELK1,tf,2.3290828897838076,VIPER
P15407,FOSL1,tf,2.2007799748531554,VIPER
P23771,GATA3,tf,-2.0798582151162197,VIPER
Q14526,HIC1,tf,-2.688564649747662,VIPER
SIGNOR-C418,HIF_1_COMPLEX,tf,3.0887738875518087,VIPER
Q16665,HIF1A,tf,3.417831382935961,VIPER
P20823,HNF1A,tf,-3.2503701642712453,VIPER
P41235,HNF4A,tf,-2.961264563651882,VIPER
P01106,MYC,tf,11.878453420624087,VIPER
P04198,MYCN,tf,3.488923278065245,VIPER
Q13469,NFATC2,tf,-2.408613503167593,VIPER
Q16236,NFE2L2,tf,4.502403698756126,VIPER
SIGNOR-C13,NFKB_P65_P50,tf,2.0621734742698794,VIPER
P23511,NFYA,tf,2.448940952657368,VIPER
Q13285,NR5A1,tf,-2.2174927856461695,VIPER
P26367,PAX6,tf,-2.461707142883509,VIPER
Q04206,RELA,tf,2.338696900158782,VIPER
SIGNOR-C104,RFX_COMPLEX,tf,3.698603157664534,VIPER
P48382,RFX5,tf,3.6148980022999573,VIPER
SIGNOR-C73,SOX2_POU5F1,tf,-2.7989737098110177,VIPER
P42224,STAT1,tf,3.3317341916869463,VIPER
P40763,STAT3,tf,3.3374984041748657,VIPER
P19532,TFE3,tf,3.766391975440504,VIPER
P19484,TFEB,tf,4.027094924695506,VIPER
P04637,TP53,tf,2.2208572407940075,VIPER
P11473,VDR,tf,2.1342781233362147,VIPER
P46937,YAP1,tf,2.064748857919162,VIPER
P14921,ETS1,tf,2.742581398025335,PhosphoScore
Q12778,FOXO1,tf,2.2132064630588326,PhosphoScore
O14896,IRF6,tf,2.2425814873975605,PhosphoScore
P06748,NPM1,tf,2.003805036821271,PhosphoScore
Q12888,TP53BP1,tf,1.9737472387257289,PhosphoScore
P00519,ABL1,kin,2.542192468516671,VIPER
P27037,ACVR2A,kin,4.769627546388788,VIPER
Q13705,ACVR2B,kin,6.55501152480626,VIPER
P31749,AKT1,kin,-2.524372241726313,VIPER
P31751,AKT2,kin,-3.7629493353012906,VIPER
Q9Y243,AKT3,kin,-4.02752015375421,VIPER
Q13315,ATM,kin,5.226767873600854,VIPER
O14874,BCKDK,kin,4.686268629495193,VIPER
P51451,BLK,kin,2.2474322532196744,VIPER
P36894,BMPR1A,kin,2.1648937267689927,VIPER
Q13873,BMPR2,kin,2.98416831947217,VIPER
