UNIPROT	gene_name	mf	final_score	method
P10275	AR	tf	3.06802230540777	VIPER
P18848	ATF4	tf	1.99941906291925	VIPER
P18850	ATF6	tf	4.92559985953958	VIPER
Q99626	CDX2	tf	-3.55185793574077	VIPER
Q16254	E2F4	tf	8.63334118651659	VIPER
Q92731	ESR2	tf	2.55807146895207	VIPER
Q01543	FLI1	tf	-3.17208091755671	VIPER
P15976	GATA1	tf	-2.95896291944301	VIPER
Q14526	HIC1	tf	-2.25364383148299	VIPER
SIGNOR-C418	HIF_1_COMPLEX	tf	2.55249451555934	VIPER
Q16665	HIF1A	tf	5.21127235072255	VIPER
P20823	HNF1A	tf	-4.88939556062268	VIPER
P41235	HNF4A	tf	-2.63755667082164	VIPER
P05412	JUN	tf	2.9510357132511	VIPER
P01106	MYC	tf	11.0684914901772	VIPER
P04198	MYCN	tf	2.58071888317812	VIPER
Q16236	NFE2L2	tf	4.6856184219144	VIPER
SIGNOR-C13	NFKB_P65_P50	tf	1.98719888526166	VIPER
Q13285	NR5A1	tf	-2.81379987189248	VIPER
Q04206	RELA	tf	2.20415835097047	VIPER
SIGNOR-C104	RFX_COMPLEX	tf	4.37014206432316	VIPER
P48382	RFX5	tf	4.87993490782747	VIPER
Q13950	RUNX2	tf	3.0239146564232	VIPER
P84022	SMAD3	tf	2.36889618445466	VIPER
O95863	SNAI1	tf	2.26074709724315	VIPER
O43623	SNAI2	tf	2.71907758450779	VIPER
P56693	SOX10	tf	-2.15342751107165	VIPER
SIGNOR-C451	SOX17_POU5F1	tf	-2.75770553256296	VIPER
SIGNOR-C73	SOX2_POU5F1	tf	-2.63541399729916	VIPER
P48436	SOX9	tf	-2.7026079843518	VIPER
P08047	SP1	tf	3.29133664759909	VIPER
Q12772	SREBF2	tf	2.090679289577	VIPER
P42224	STAT1	tf	2.26397212095785	VIPER
P40763	STAT3	tf	2.30027871260858	VIPER
P19532	TFE3	tf	4.19034697608892	VIPER
P19484	TFEB	tf	4.67984318889583	VIPER
P04637	TP53	tf	3.10503100438712	VIPER
Q9H3D4	TP63	tf	2.05714592203623	VIPER
Q15672	TWIST1	tf	1.96540421926235	VIPER
P46937	YAP1	tf	2.26468128907622	VIPER
P03372	ESR1	tf	-2.93508452483313	PhosphoScore
O14896	IRF6	tf	-2.95438378682853	PhosphoScore
Q14814	MEF2D	tf	2.23906150049535	PhosphoScore
O95644	NFATC1	tf	-2.08460456375659	PhosphoScore
P06748	NPM1	tf	2.24156068550195	PhosphoScore
Q9UM73	ALK	kin	2.24550496915322	VIPER
Q13315	ATM	kin	2.56447278152573	VIPER
O14874	BCKDK	kin	6.65929995130411	VIPER
Q06187	BTK	kin	2.10067887641507	VIPER
Q13557	CAMK2D	kin	3.18275389254166	VIPER
Q13555	CAMK2G	kin	2.75420470545315	VIPER
Q8N5S9	CAMKK1	kin	5.52589135414481	VIPER
Q96RR4	CAMKK2	kin	5.56365550278764	VIPER
P06493	CDK1	kin	-3.9864453175147	VIPER
Q15131	CDK10	kin	-10.1103942418733	VIPER
Q00536	CDK16	kin	-2.04551878674028	VIPER
P24941	CDK2	kin	-5.61783443631988	VIPER
Q00526	CDK3	kin	-7.75867327418544	VIPER
P11802	CDK4	kin	-3.97926103025452	VIPER
Q00535	CDK5	kin	-8.67918284018368	VIPER
Q15078	CDK5R1	kin	-4.32163953037307	VIPER
Q00534	CDK6	kin	-5.77780008494273	VIPER
Q00532	CDKL1	kin	-5.56806366185631	VIPER
O76039	CDKL5	kin	-3.22887486187613	VIPER
P49759	CLK1	kin	-13.907347714258	VIPER
P49760	CLK2	kin	-19.6273829390891	VIPER
P49761	CLK3	kin	-18.8833949813166	VIPER
Q9HAZ1	CLK4	kin	-11.0088724025322	VIPER
P41240	CSK	kin	2.45773186818816	VIPER
SIGNOR-C18	CYCLIND_CDK4	kin	-2.40560327999678	VIPER
Q08345	DDR1	kin	2.57510206612088	VIPER
Q16832	DDR2	kin	2.57895762745311	VIPER
Q9BY84	DUSP16	phos	1.99413568618659	VIPER
Q16829	DUSP7	phos	2.5488134742524	VIPER
Q92630	DYRK2	kin	2.01141302541291	VIPER
P00533	EGFR	kin	0.261727574514706	VIPER+PhosphoScore
P29320	EPHA3	kin	2.42400583014458	VIPER
P54764	EPHA4	kin	2.64542713677284	VIPER
Q9UF33	EPHA6	kin	2.02190550450548	VIPER
Q15303	ERBB4	kin	2.64312895705642	VIPER
P21802	FGFR2	kin	2.32202691096827	VIPER
P22607	FGFR3	kin	3.20120920490269	VIPER
P22455	FGFR4	kin	2.86368945236911	VIPER
Q8WTQ7	GRK7	kin	-2.7867910744893	VIPER
P49840	GSK3A	kin	-2.86092672556233	VIPER
Q8TF76	HASPIN	kin	-2.47513715028224	VIPER
Q86Z02	HIPK1	kin	-1.1326082242905	VIPER
Q8NE63	HIPK4	kin	2.03794026520397	VIPER
P57058	HUNK	kin	2.96937984953416	VIPER
P51617	IRAK1	kin	7.08788042224581	VIPER
P10721	KIT	kin	2.6863251690451	VIPER
Q8IVT5	KSR1	kin	2.46597329762957	VIPER
O95835	LATS1	kin	-2.40541159261611	VIPER
P29376	LTK	kin	2.46116908863837	VIPER
P46734	MAP2K3	kin	2.44213500879433	VIPER
Q99558	MAP3K14	kin	2.20296270881231	VIPER
Q8IW41	MAPKAPK5	kin	2.08417715604265	VIPER
Q9P0L2	MARK1	kin	2.15975226671847	VIPER
Q7KZI7	MARK2	kin	3.10800389689257	VIPER
Q6P0Q8	MAST2	kin	-7.75637176271259	VIPER
Q96GX5	MASTL	kin	3.21825150569068	VIPER
O15146	MUSK	kin	2.39097322647105	VIPER
Q8WXR4	MYO3B	kin	2.10997716869149	VIPER
Q96PY6	NEK1	kin	3.77152213938191	VIPER
P51955	NEK2	kin	3.79218729911055	VIPER
P51957	NEK4	kin	6.84525574838156	VIPER
Q6P3R8	NEK5	kin	4.0266597106332	VIPER
Q8TDX7	NEK7	kin	6.66226856086451	VIPER
Q8TD19	NEK9	kin	4.86466916915971	VIPER
P04629	NTRK1	kin	2.13963021244329	VIPER
Q96KB5	PBK	kin	2.22515122839181	VIPER
Q8NEB9	PIK3C3	kin	-3.38974081358124	VIPER
P11309	PIM1	kin	-5.6330006401607	VIPER
Q9P1W9	PIM2	kin	-2.74397503618431	VIPER
Q86V86	PIM3	kin	-5.61148512111794	VIPER
Q9BXM7	PINK1	kin	2.31133119568714	VIPER
Q6P5Z2	PKN3	kin	2.13951094678561	VIPER
P53350	PLK1	kin	5.0356433393238	VIPER
Q9NYY3	PLK2	kin	2.03765256465915	VIPER
Q9H4B4	PLK3	kin	2.77488233110787	VIPER
O00444	PLK4	kin	7.44672387616625	VIPER
P51817	PRKX	kin	-4.10418241864105	VIPER
P04049	RAF1	kin	4.30194487917408	VIPER
Q13546	RIPK1	kin	2.62937596412946	VIPER
O43353	RIPK2	kin	9.51785399656247	VIPER
Q9Y572	RIPK3	kin	5.75684890079436	VIPER
P51812	RPS6KA3	kin	-3.40416638284484	VIPER
Q96Q15	SMG1	kin	9.1077201350028	VIPER
Q96SB4	SRPK1	kin	-14.1715683215018	VIPER
P78362	SRPK2	kin	-12.5896871458011	VIPER
Q9UPE1	SRPK3	kin	-11.1071286779274	VIPER
Q9UHD2	TBK1	kin	13.7990436337299	VIPER
Q02763	TEK	kin	2.03118436974997	VIPER
Q13470	TNK1	kin	2.33096088897243	VIPER
Q5TCY1	TTBK1	kin	9.20934986591389	VIPER
Q6IQ55	TTBK2	kin	2.88280924099084	VIPER
O75385	ULK1	kin	6.76870969689391	VIPER
Q8IYT8	ULK2	kin	3.63108980078001	VIPER
Q6PHR2	ULK3	kin	2.61963150900839	VIPER
Q9BYP7	WNK3	kin	3.34010775906902	VIPER
P28482	MAPK1	kin	3.20055350997851	PhosphoScore
P17252	PRKCA	kin	2.49862963215293	PhosphoScore
P18433	PTPRA	phos	2.22219200170081	PhosphoScore
Q96J92	WNK4	kin	-4.20595856635573	PhosphoScore
Q8N264	ARHGAP24	other	2.09007821823992	PhosphoScore
Q9H8V3	ECT2	other	-2.25829134068501	PhosphoScore
O00168	FXYD1	other	-2.40574325607434	PhosphoScore
P33991	MCM4	other	3.79722420443969	PhosphoScore
O15553	MEFV	other	-2.14180155065521	PhosphoScore
Q9H8S9	MOB1A	other	-2.00531828057262	PhosphoScore
Q13522	PPP1R1A	other	-2.33868179173061	PhosphoScore
Q15172	PPP2R5A	other	2.40824244108094	PhosphoScore
P49768	PSEN1	other	-2.02111201154383	PhosphoScore
P47736	RAP1GAP	other	-2.52133056262954	PhosphoScore
P55327	TPD52	other	-1.99025374872729	PhosphoScore
