UNIPROT,gene_name,mf,final_score,method
P10275,AR,tf,3.06802230540777,VIPER
P18848,ATF4,tf,1.9994190629192523,VIPER
P18850,ATF6,tf,4.925599859539579,VIPER
Q99626,CDX2,tf,-3.5518579357407667,VIPER
Q16254,E2F4,tf,8.633341186516592,VIPER
Q92731,ESR2,tf,2.5580714689520714,VIPER
Q01543,FLI1,tf,-3.172080917556706,VIPER
P15976,GATA1,tf,-2.95896291944301,VIPER
Q14526,HIC1,tf,-2.2536438314829867,VIPER
SIGNOR-C418,HIF_1_COMPLEX,tf,2.552494515559338,VIPER
Q16665,HIF1A,tf,5.211272350722551,VIPER
P20823,HNF1A,tf,-4.889395560622681,VIPER
P41235,HNF4A,tf,-2.637556670821642,VIPER
P05412,JUN,rec,0,constrains
P01106,MYC,tf,11.0684914901772,VIPER
P04198,MYCN,tf,2.580718883178119,VIPER
Q16236,NFE2L2,tf,4.685618421914405,VIPER
SIGNOR-C13,NFKB_P65_P50,tf,1.9871988852616596,VIPER
Q13285,NR5A1,tf,-2.813799871892482,VIPER
Q04206,RELA,tf,2.2041583509704687,VIPER
SIGNOR-C104,RFX_COMPLEX,tf,4.370142064323165,VIPER
P48382,RFX5,tf,4.879934907827471,VIPER
Q13950,RUNX2,tf,3.0239146564232,VIPER
P84022,SMAD3,rec,0,constrains
O95863,SNAI1,tf,2.2607470972431467,VIPER
O43623,SNAI2,tf,2.7190775845077857,VIPER
P56693,SOX10,tf,-2.153427511071651,VIPER
SIGNOR-C451,SOX17_POU5F1,tf,-2.7577055325629622,VIPER
SIGNOR-C73,SOX2_POU5F1,tf,-2.635413997299156,VIPER
P48436,SOX9,tf,-2.702607984351803,VIPER
P08047,SP1,tf,3.2913366475990933,VIPER
Q12772,SREBF2,tf,2.0906792895770017,VIPER
P42224,STAT1,tf,2.2639721209578454,VIPER
P40763,STAT3,tf,2.3002787126085775,VIPER
P19532,TFE3,tf,4.1903469760889225,VIPER
P19484,TFEB,tf,4.679843188895825,VIPER
P04637,TP53,rec,-1,constrains
Q9H3D4,TP63,rec,0,constrains
Q15672,TWIST1,tf,1.9654042192623549,VIPER
P46937,YAP1,tf,2.2646812890762233,VIPER
P03372,ESR1,tf,-2.935084524833126,PhosphoScore
O14896,IRF6,tf,-2.954383786828528,PhosphoScore
Q14814,MEF2D,tf,2.239061500495348,PhosphoScore
O95644,NFATC1,tf,-2.0846045637565873,PhosphoScore
P06748,NPM1,tf,2.2415606855019465,PhosphoScore
Q9UM73,ALK,kin,2.2455049691532207,VIPER
Q13315,ATM,rec,0,constrains
O14874,BCKDK,kin,6.65929995130411,VIPER
Q06187,BTK,kin,2.100678876415071,VIPER
Q13557,CAMK2D,kin,3.1827538925416645,VIPER
Q13555,CAMK2G,kin,2.754204705453147,VIPER
Q8N5S9,CAMKK1,kin,5.525891354144814,VIPER
Q96RR4,CAMKK2,kin,5.563655502787642,VIPER
P06493,CDK1,kin,-3.986445317514697,VIPER
Q15131,CDK10,kin,-10.110394241873308,VIPER
Q00536,CDK16,kin,-2.0455187867402844,VIPER
P24941,CDK2,kin,-5.617834436319884,VIPER
Q00526,CDK3,kin,-7.75867327418544,VIPER
P11802,CDK4,kin,-3.979261030254525,VIPER
Q00535,CDK5,kin,-8.679182840183682,VIPER
Q15078,CDK5R1,kin,-4.321639530373074,VIPER
Q00534,CDK6,kin,-5.777800084942728,VIPER
Q00532,CDKL1,kin,-5.568063661856306,VIPER
O76039,CDKL5,kin,-3.228874861876134,VIPER
P49759,CLK1,kin,-13.907347714257956,VIPER
P49760,CLK2,kin,-19.627382939089127,VIPER
