UNIPROT,gene_name,mf,final_score,method
P10275,AR,tf,2.7077901685164045,VIPER+PhosphoScore
P18850,ATF6,tf,4.3200320983789124,VIPER
P49715,CEBPA,tf,2.28151799987337,VIPER
Q16254,E2F4,tf,6.558981938190964,VIPER
P03372,ESR1,tf,-0.8721765353987891,VIPER+PhosphoScore
Q92731,ESR2,tf,3.077442108650451,VIPER
Q01543,FLI1,tf,-2.110161593919898,VIPER
O43524,FOXO3,tf,2.3086627607361736,VIPER
P98177,FOXO4,tf,2.1093858594007133,VIPER
P15976,GATA1,tf,-2.7690742608881407,VIPER
P10070,GLI2,tf,-2.3640971297405846,VIPER
SIGNOR-C418,HIF_1_COMPLEX,tf,2.2443056860119213,VIPER
Q16665,HIF1A,tf,3.71330649063119,VIPER
P20823,HNF1A,tf,-3.5859836910034866,VIPER
P01106,MYC,tf,10.56858674042622,VIPER
P04198,MYCN,tf,2.5185978525411015,VIPER
Q13469,NFATC2,tf,-2.2174334492746777,VIPER
Q16236,NFE2L2,tf,3.99250980534628,VIPER
Q13285,NR5A1,tf,-2.0331357727959203,VIPER
P26367,PAX6,tf,-2.782126539970195,VIPER
SIGNOR-C104,RFX_COMPLEX,tf,4.752028099917169,VIPER
P48382,RFX5,tf,4.0052504727466784,VIPER
P84022,SMAD3,rec,0,constrains
P56693,SOX10,tf,-1.9946819283235055,VIPER
SIGNOR-C451,SOX17_POU5F1,tf,-3.123017043613936,VIPER
SIGNOR-C73,SOX2_POU5F1,tf,-3.4770289018792173,VIPER
Q12772,SREBF2,tf,3.373890642659001,VIPER
P42224,STAT1,tf,2.2942647724719087,VIPER
P19532,TFE3,tf,4.181719479821709,VIPER
P19484,TFEB,tf,5.011533848915187,VIPER
P04637,TP53,rec,0,constrains
Q15672,TWIST1,tf,2.0870424195045287,VIPER
P11473,VDR,tf,2.9695626882917407,VIPER
P46937,YAP1,tf,2.649075319060267,VIPER
Q00613,HSF1,tf,-2.099897678448173,PhosphoScore
O14896,IRF6,tf,-3.461173908191097,PhosphoScore
P06748,NPM1,tf,2.737758821793266,PhosphoScore
Q99708,RBBP8,tf,-2.2936047193222997,PhosphoScore
Q12888,TP53BP1,tf,-2.1439660302470367,PhosphoScore
P00519,ABL1,kin,2.3298722170435444,VIPER
