UNIPROT,gene_name,difference,significant,logpval
P04217,A1BG,-0.07397196368961988,NA,1.0589673061400464
P01023,A2M,0.1729740374829988,NA,0.8626718350768022
A8K2U0,A2ML1,1.772451328666615,NA,0.07631966780638198
Q9NRG9,AAAS,1.027406136429191,NA,0.3042292631813788
Q86V21,AACS,-0.2969529658267246,NA,1.2334975819500464
Q8N5Z0,AADAT,-0.927538657961952,NA,1.6463530699731588
Q6PD74,AAGAB,0.09793696272513389,NA,0.9219823490470375
Q2M2I8,AAK1,0.03019589878474762,NA,0.9759108193372882
Q9H7C9,AAMDC,-0.10523297354261256,NA,1.0838090531319904
Q13685,AAMP,-0.01981106586935824,NA,1.0158059096706062
Q9Y312,AAR2,1.0002990597423542,NA,0.31716580209892015
Q5JTZ9,AARS2,0.33449813098236314,NA,0.7380037010193939
Q9BTE6,AARSD1,0.4105470612550609,NA,0.6814046884933929
Q9NRN7,AASDHPPT,0.5647751439369465,NA,0.5722267155670023
Q9UDR5,AASS,-0.4709921143779685,NA,1.3623536338485782
Q9NY61,AATF,1.3275011799072387,NA,0.18434294988675964
P80404,ABAT,-1.4233611760492946,NA,1.8453685189506202
O95477,ABCA1,-1.439018308752497,NA,1.8498546645524387
Q86UK0,ABCA12,-0.9492014357306896,NA,1.6574818285037083
Q86UQ4,ABCA13,-2.0538004173435493,+,1.9600049874541363
Q9BZC7,ABCA2,-0.7211452382567043,NA,1.5291798397356222
Q99758,ABCA3,-0.24593414565778585,NA,1.1942667889912986
Q8N139,ABCA6,-1.656780266655201,NA,1.902436091973293
O94911,ABCA8,0.3553509087319258,NA,0.7223267211289405
P08183,ABCB1,-0.10837505119393552,NA,1.0863018091817496
Q9NRK6,ABCB10,-0.9294691737040572,NA,1.6473540064675893
Q2M3G0,ABCB5,-1.5828083029655813,NA,1.886534836311832
Q9NP58,ABCB6,-0.6085512088418188,NA,1.4571780467616344
O75027,ABCB7,0.5877016596809215,NA,0.5567325613696344
Q9NUT2,ABCB8,-2.1152573259812897,+,1.9655919785660556
P33527,ABCC1,0.2688340336250548,NA,0.7880574020668616
Q5T3U5,ABCC10,-0.4974132426460943,NA,1.3811023310374073
Q96J66,ABCC11,-0.13857094997868316,NA,1.1102107996437536
Q92887,ABCC2,-0.8889419980154046,NA,1.625965747232595
O15438,ABCC3,-2.350753383170274,+,1.9812645532747548
O15439,ABCC4,0.4991110465796382,NA,0.6177011558506865
O15440,ABCC5,-0.7758054764047511,NA,1.562136150045921
P33897,ABCD1,0.5064070573971169,NA,0.6125709212295494
P28288,ABCD3,-1.29208623688809,NA,1.803672718370101
P61221,ABCE1,0.4813769472933578,NA,0.6302486177250455
Q8NE71,ABCF1,0.4709921143779685,NA,0.6376463661514218
Q9UG63,ABCF2,0.2448690345895408,NA,0.8065578386947648
Q9NUQ8,ABCF3,0.3438711083829197,NA,0.7309432205137043
P45844,ABCG1,-0.0375451651556386,NA,1.029949671072367
Q9NUJ1,ABHD10,0.5564140220512227,NA,0.5779278553776315
Q8NFV4,ABHD11,0.1020908958912896,NA,0.9186845272835938
Q8N2K0,ABHD12,-1.6338271231345196,NA,1.897704844549016
Q7L211,ABHD13,-0.7299811546912173,NA,1.5345982960331406
Q96IU4,ABHD14B,-1.102443211187056,NA,1.729730965620088
O95870,ABHD16A,-0.20215808075291364,NA,1.1602068568021886
Q96GS6,ABHD17A,-0.06566409735730833,NA,1.052354743145827
Q5VST6,ABHD17B,0.24071510142338504,NA,0.8097759338342481
Q6PCB6,ABHD17C,-1.4118578111681177,NA,1.8420081678366942
Q8WU67,ABHD3,0.5840567861123531,NA,0.5591821074412537
Q8TB40,ABHD4,0.05208393123718375,NA,0.9584618166019385
Q8WTS1,ABHD5,0.3105331319468491,NA,0.756155568242015
Q9BV23,ABHD6,0.5689443972413294,NA,0.5693938745185334
Q8IZP0,ABI1,0.13649398339560526,NA,0.891430780593232
Q9NYB9,ABI2,0.2834260552600122,NA,0.7768502576739902
Q9P2A4,ABI3,0.28656813291133515,NA,0.7744430177026755
Q7Z7G0,ABI3BP,-0.668943006411314,NA,1.4964681650649243
P00519,ABL1,-0.9565762503908942,NA,1.6612188191082726
O14639,ABLIM1,-0.2219691466222719,NA,1.1756620983622725
Q6H8Q1,ABLIM2,-0.5408101449014325,NA,1.4113615504062418
O94929,ABLIM3,-2.6335521007543483,+,1.9915503129147556
Q12979,ABR,-0.5064070573971169,NA,1.3874290787704506
Q9P1F3,ABRACL,1.9568753101332488,NA,0.050362130013321287
Q9ULW3,ABT1,1.3003941032204016,NA,0.1934659299422739
Q969K4,ABTB1,-1.787060851337041,NA,1.9260723459983817
Q8N961,ABTB2,-1.0020709077238228,NA,1.6836906524926416
P09110,ACAA1,0.5324490230157087,NA,0.5944150395353966
P42765,ACAA2,0.5605679552173785,NA,0.5750921018491464
Q13085,ACACA,-0.15108600503056266,NA,1.1200921278637628
O00763,ACACB,-0.11982499517756998,NA,1.095378218691924
Q6JQN1,ACAD10,0.2896569550092459,NA,0.7720786900663796
Q709F0,ACAD11,-0.6449780073758,NA,1.4810585621033723
Q9UKU7,ACAD8,-0.07397196368961988,NA,1.0589673061400464
Q9H845,ACAD9,0.551194977816822,NA,0.5815000224571567
P28330,ACADL,-0.12610915048021587,NA,1.100354475733471
P11310,ACADM,0.06353387522081823,NA,0.9493413851968724
P16219,ACADS,-0.3865820622195469,NA,1.3009343602941346
P45954,ACADSB,-0.7012691273325518,NA,1.516864923388796
P49748,ACADVL,0.6522740181932788,NA,0.5142244178898753
P16112,ACAN,0.4813769472933578,NA,0.6302486177250455
Q15027,ACAP1,0.10422111802777977,NA,0.9169938754699549
Q15057,ACAP2,0.04377606490487223,NA,0.9650829062287447
Q96P50,ACAP3,0.01016208902064103,NA,0.9918919656153209
P24752,ACAT1,0.09378302955897808,NA,0.9252815127132062
Q9BWD1,ACAT2,0.3772090848189903,NA,0.7060182294192356
Q9H3P7,ACBD3,0.3990971172714264,NA,0.6898216462868092
Q5T8D3,ACBD5,-0.240715101423385,NA,1.190224066165752
Q9BR61,ACBD6,0.434512060290575,NA,0.6639166389012152
Q8N6N7,ACBD7,-0.06875291945521904,NA,1.0548137058104488
Q96QU6,ACCS,-1.7181148350607458,NA,1.9142243285700486
Q96AP0,ACD,0.33966391966335174,NA,0.7341096358561046
P12821,ACE,-0.6856652501827616,NA,1.5070757753542492
Q9BYF1,ACE2,-2.263700559416199,+,1.9764074619319751
Q9UKV3,ACIN1,-0.5319430952582923,NA,1.4052345917030673
P53396,ACLY,-1.5155997945593171,NA,1.8703794209490985
P21399,ACO1,-0.5178570013807513,NA,1.395441955569068
Q99798,ACO2,0.32091796486223856,NA,0.7482725594375885
Q86TX2,ACOT1,0.13963606104692822,NA,0.8889475471414314
Q8WXI4,ACOT11,-0.2729879667912105,NA,1.2151375344957718
Q9NPJ3,ACOT13,0.9012969859489752,NA,0.3674304359106394
P49753,ACOT2,0.00114083978006777,NA,0.9990897417505867
Q8N9L9,ACOT4,-0.5001761576478833,NA,1.3830489550847127
O00154,ACOT7,0.6179241862423753,NA,0.5366253149639028
O14734,ACOT8,0.263614989390654,NA,0.7920766071230874
Q9Y305,ACOT9,-0.45533498167476594,NA,1.3511317367799855
Q15067,ACOX1,0.3292790867479623,NA,0.7419447499004976
O15254,ACOX3,-0.6325162078773328,NA,1.4729503790282081
P24666,ACP1,0.8966371250254032,NA,0.3699125811280847
P11117,ACP2,0.15422808268188565,NA,0.8774299003125176
P13686,ACP5,0.549118011233744,NA,0.5829244655047311
Q9NPH0,ACP6,-0.02396499903551402,NA,1.019119472592904
Q96CM8,ACSF2,-0.8085790674582424,NA,1.5812426907453419
Q4G176,ACSF3,-0.3021720100611253,NA,1.2374790597641272
P33121,ACSL1,1.0836972563859428,NA,0.2784990525024925
O95573,ACSL3,-0.4511810485086101,NA,1.3481409326283882
O60488,ACSL4,0.8950660861997417,NA,0.3707517617195077
Q9ULC5,ACSL5,0.7283762040193889,NA,0.46638332578955455
Q08AH1,ACSM1,-1.2138278998388063,NA,1.7751865500307562
Q53FZ2,ACSM3,-0.10358991813957208,NA,1.0825052112236366
Q9NUB1,ACSS1,-0.4949571134134824,NA,1.3793696061990761
Q9NR19,ACSS2,-1.1597461866586405,NA,1.7538478404157893
Q9H6R3,ACSS3,-0.9919911934100428,NA,1.6787981785969266
P68133,ACTA1,0.4219970052386954,NA,0.6730272033580446
P62736,ACTA2,0.08233308557534365,NA,0.9343818452390087
P60709,ACTB,0.6189360417572081,NA,0.5359584938693956
Q562R1,ACTBL2,0.5689290771031023,NA,0.569404271674758
P63261,ACTG1,0.3469599304808304,NA,0.7286214218372561
P63267,ACTG2,0.6220781194085311,NA,0.5338905017842059
O96019,ACTL6A,1.2587482604520197,NA,0.20812127384325088
Q9H568,ACTL8,2.7977272429593163,+,0.005146355152265952
P12814,ACTN1,0.4881670303534201,NA,0.6254315354319792
P35609,ACTN2,0.4970340799965603,NA,0.6191650188460889
Q08043,ACTN3,0.3886590288026248,NA,0.6975283943163038
O43707,ACTN4,0.30842953758706515,NA,0.7577555090184931
P61163,ACTR1A,0.6866771056975944,NA,0.4922862272191389
P42025,ACTR1B,0.20316993626774643,NA,0.8390022101481789
P61160,ACTR2,0.6408240742096443,NA,0.521636989844291
P61158,ACTR3,0.33550998649719593,NA,0.7372404127140204
Q9P1U1,ACTR3B,0.33550998649719593,NA,0.7372404127140204
Q9C0K3,ACTR3C,0.812733000624398,NA,0.4163711562815787
Q9H9F9,ACTR5,1.0242640587778682,NA,0.30571056913332617
Q9GZN1,ACTR6,0.1583820158480414,NA,0.8741557841846735
Q9H981,ACTR8,-0.7262992374363109,NA,1.5323446532559588
Q04771,ACVR1,-2.1379485463563963,+,1.9674790804769349
Q03154,ACY1,0.452192904023443,NA,0.651130019703021
P07311,ACYP1,0.4157661054894617,NA,0.6775811633357093
P14621,ACYP2,0.41262402783813873,NA,0.6798820942432311
P00813,ADA,0.1990160031015907,NA,0.8422502263239986
Q6DHV7,ADAL,-1.6063224311119937,NA,1.8917969156948584
O14672,ADAM10,-0.8002712011259309,NA,1.5764463151376138
O43184,ADAM12,-0.9372747377877028,NA,1.6513827459354253
Q13444,ADAM15,-1.7422021743284553,NA,1.9185269263361429
P78536,ADAM17,-0.1271210059950487,NA,1.1011553740425972
P78325,ADAM8,-0.3240423188009761,NA,1.254094004491501
Q13443,ADAM9,2.13086120313108,+,0.03310057842613026
O15204,ADAMDEC1,-2.3549064629021235,+,1.9814726312781643
Q9UHI8,ADAMTS1,1.2513332736603964,NA,0.21081291067369493
P58397,ADAMTS12,-1.490037128921436,NA,1.8637855263585172
Q8TE58,ADAMTS15,-2.730039434572342,+,1.9936673250054802
Q8TE57,ADAMTS16,-1.943348399566536,NA,1.948025922656153
O95450,ADAMTS2,-0.03962213173871649,NA,1.0316056172841845
O75173,ADAMTS4,0.6137169975228074,NA,0.5394023542381264
Q9UKP4,ADAMTS7,-1.9454253661496137,NA,1.9482761957524293
Q8N6G6,ADAMTSL1,-0.3532440857834763,NA,1.2760945401846722
Q86TH1,ADAMTSL2,-1.395242243847625,NA,1.8370571978657408
P82987,ADAMTSL3,-0.1708970708999209,NA,1.1356953001344532
Q6UY14,ADAMTSL4,-2.3736532711375427,+,1.9823869187115912
O75689,ADAP1,0.4001089727862592,NA,0.6890762556822085
Q9NPF8,ADAP2,0.24279206800646289,NA,0.8081664805666378
P55265,ADAR,1.59010431378306,NA,0.11181129378450161
P78563,ADARB1,0.10523297354261256,NA,0.9161909468680096
Q9NS39,ADARB2,-0.6262320525746868,NA,1.4688372535772756
Q9BUB4,ADAT1,0.5438989669993433,NA,0.5865109998590585
Q7Z6V5,ADAT2,1.3868811219619008,NA,0.16547801520004946
