UNIPROT,gene_name,difference,significant,logpval
P04217,A1BG,-0.4535638297142351,NA,1.3498572079406688
P01023,A2M,-1.2844261329189806,NA,1.8010071059891843
A8K2U0,A2ML1,-2.887268037988868,+,1.9961139697405714
Q9NRG9,AAAS,-0.49916368912374154,NA,1.3823359273556357
Q86V21,AACS,-0.980016260644708,NA,1.6729219078435353
Q8N5Z0,AADAT,-0.7829646159291532,NA,1.5663521090172101
Q6PD74,AAGAB,-0.3520938722894776,NA,1.2752321362645143
Q2M2I8,AAK1,-0.01386068087361911,NA,1.0110588691679638
Q9H7C9,AAMDC,0.824327725869891,NA,0.4097533688087053
Q13685,AAMP,-0.6344569656900849,NA,1.4742173569144001
Q9Y312,AAR2,-0.1873592450533327,NA,1.148621025540046
Q5JTZ9,AARS2,0.7875602716613249,NA,0.43095396067458464
Q9BTE6,AARSD1,0.9963884566448002,NA,0.31906143946416926
Q9NRN7,AASDHPPT,0.2876050563336734,NA,0.7736490739566034
Q9UDR5,AASS,0.14197307290421363,NA,0.8871012749204606
Q9NY61,AATF,-0.03296332468030423,NA,1.0262961655976024
P80404,ABAT,1.0493144195930713,NA,0.2940334315892096
O95477,ABCA1,-1.015277413191098,NA,1.6900263919937377
Q86UK0,ABCA12,0.8471010972244607,NA,0.3969387736032604
Q86UQ4,ABCA13,-0.23590323952981931,NA,1.1864922455910707
Q9BZC7,ABCA2,0.6295783254620072,NA,0.528970508165728
Q99758,ABCA3,-0.31094444960912715,NA,1.2441571476733684
Q8N139,ABCA6,0.3978811206146885,NA,0.6907178171763286
O94911,ABCA8,0.14049518801291083,NA,0.8882687541927349
P08183,ABCB1,-0.973947958763554,NA,1.6699176205505677
Q9NRK6,ABCB10,0.8140574872641462,NA,0.41561201877214804
Q2M3G0,ABCB5,-0.04809721347818328,NA,1.0383612330404
Q9NP58,ABCB6,-0.11676847170318091,NA,1.0929564712680504
O75027,ABCB7,1.6235919282976283,NA,0.10446292928263672
Q9NUT2,ABCB8,0.15231177976732996,NA,0.8789410344093841
P33527,ABCC1,-0.7079234058498454,NA,1.52100717622316
Q5T3U5,ABCC10,-0.7689745034279966,NA,1.558091553376982
Q96J66,ABCC11,0.1670324551022307,NA,0.8673445121617325
Q92887,ABCC2,2.19783328117639,+,0.027960988816657744
O15438,ABCC3,1.662516132613401,NA,0.09640933140713771
O15439,ABCC4,-1.4329337831580486,NA,1.8481232383842094
O15440,ABCC5,0.9726394174767412,NA,0.3307325447350828
P33897,ABCD1,-1.2241055981745734,NA,1.77908760552434
P28288,ABCD3,-0.2624004551326406,NA,1.2069872781741011
P61221,ABCE1,-0.4432251228511187,NA,1.3423970910312781
Q8NE71,ABCF1,-0.471228640116116,NA,1.3625225315446863
Q9UG63,ABCF2,-0.2226888658570945,NA,1.1762223324541852
Q9NUQ8,ABCF3,-0.33737319695457685,NA,1.2641644127903888
P45844,ABCG1,0.12143259569272428,NA,0.9033484002770905
Q9NUJ1,ABHD10,0.41701006276605646,NA,0.6766710473894264
Q8NFV4,ABHD11,-1.234375836780318,NA,1.782937111336055
Q8N2K0,ABHD12,1.9948610538952989,+,0.04605803623372722
Q7L211,ABHD13,1.169887020824514,NA,0.24204643772734988
Q96IU4,ABHD14B,1.4184267950835354,NA,0.15606619723478404
O95870,ABHD16A,0.8258340275320668,NA,0.4088982485728199
Q96GS6,ABHD17A,0.8052250820632058,NA,0.42068980502656494
Q5VST6,ABHD17B,0.6390526214222567,NA,0.5227887001033524
Q6PCB6,ABHD17C,2.108107551587977,+,0.03502168739086095
Q8WU67,ABHD3,2.737467773348012,+,0.00619141859482898
Q8TB40,ABHD4,-0.30354987781299103,NA,1.238529157662891
