UNIPROT	gene_name	difference	significant	logpval
P04217	A1BG	-0.0739719636896199	NA	1.05896730614005
P01023	A2M	0.172974037482999	NA	0.862671835076802
A8K2U0	A2ML1	1.77245132866662	NA	0.076319667806382
Q9NRG9	AAAS	1.02740613642919	NA	0.304229263181379
Q86V21	AACS	-0.296952965826725	NA	1.23349758195005
Q8N5Z0	AADAT	-0.927538657961952	NA	1.64635306997316
Q6PD74	AAGAB	0.0979369627251339	NA	0.921982349047038
Q2M2I8	AAK1	0.0301958987847476	NA	0.975910819337288
Q9H7C9	AAMDC	-0.105232973542613	NA	1.08380905313199
Q13685	AAMP	-0.0198110658693582	NA	1.01580590967061
Q9Y312	AAR2	1.00029905974235	NA	0.31716580209892
Q5JTZ9	AARS2	0.334498130982363	NA	0.738003701019394
Q9BTE6	AARSD1	0.410547061255061	NA	0.681404688493393
Q9NRN7	AASDHPPT	0.564775143936946	NA	0.572226715567002
Q9UDR5	AASS	-0.470992114377969	NA	1.36235363384858
Q9NY61	AATF	1.32750117990724	NA	0.18434294988676
P80404	ABAT	-1.42336117604929	NA	1.84536851895062
O95477	ABCA1	-1.4390183087525	NA	1.84985466455244
Q86UK0	ABCA12	-0.94920143573069	NA	1.65748182850371
Q86UQ4	ABCA13	-2.05380041734355	+	1.96000498745414
Q9BZC7	ABCA2	-0.721145238256704	NA	1.52917983973562
Q99758	ABCA3	-0.245934145657786	NA	1.1942667889913
Q8N139	ABCA6	-1.6567802666552	NA	1.90243609197329
O94911	ABCA8	0.355350908731926	NA	0.72232672112894
P08183	ABCB1	-0.108375051193936	NA	1.08630180918175
Q9NRK6	ABCB10	-0.929469173704057	NA	1.64735400646759
Q2M3G0	ABCB5	-1.58280830296558	NA	1.88653483631183
Q9NP58	ABCB6	-0.608551208841819	NA	1.45717804676163
O75027	ABCB7	0.587701659680921	NA	0.556732561369634
Q9NUT2	ABCB8	-2.11525732598129	+	1.96559197856606
P33527	ABCC1	0.268834033625055	NA	0.788057402066862
Q5T3U5	ABCC10	-0.497413242646094	NA	1.38110233103741
Q96J66	ABCC11	-0.138570949978683	NA	1.11021079964375
Q92887	ABCC2	-0.888941998015405	NA	1.6259657472326
O15438	ABCC3	-2.35075338317027	+	1.98126455327475
O15439	ABCC4	0.499111046579638	NA	0.617701155850687
O15440	ABCC5	-0.775805476404751	NA	1.56213615004592
P33897	ABCD1	0.506407057397117	NA	0.612570921229549
P28288	ABCD3	-1.29208623688809	NA	1.8036727183701
P61221	ABCE1	0.481376947293358	NA	0.630248617725045
Q8NE71	ABCF1	0.470992114377969	NA	0.637646366151422
Q9UG63	ABCF2	0.244869034589541	NA	0.806557838694765
Q9NUQ8	ABCF3	0.34387110838292	NA	0.730943220513704
P45844	ABCG1	-0.0375451651556386	NA	1.02994967107237
Q9NUJ1	ABHD10	0.556414022051223	NA	0.577927855377631
Q8NFV4	ABHD11	0.10209089589129	NA	0.918684527283594
Q8N2K0	ABHD12	-1.63382712313452	NA	1.89770484454902
Q7L211	ABHD13	-0.729981154691217	NA	1.53459829603314
Q96IU4	ABHD14B	-1.10244321118706	NA	1.72973096562009
O95870	ABHD16A	-0.202158080752914	NA	1.16020685680219
Q96GS6	ABHD17A	-0.0656640973573083	NA	1.05235474314583
Q5VST6	ABHD17B	0.240715101423385	NA	0.809775933834248
Q6PCB6	ABHD17C	-1.41185781116812	NA	1.84200816783669
Q8WU67	ABHD3	0.584056786112353	NA	0.559182107441254
Q8TB40	ABHD4	0.0520839312371838	NA	0.958461816601938
Q8WTS1	ABHD5	0.310533131946849	NA	0.756155568242015
Q9BV23	ABHD6	0.568944397241329	NA	0.569393874518533
Q8IZP0	ABI1	0.136493983395605	NA	0.891430780593232
Q9NYB9	ABI2	0.283426055260012	NA	0.77685025767399
Q9P2A4	ABI3	0.286568132911335	NA	0.774443017702676
Q7Z7G0	ABI3BP	-0.668943006411314	NA	1.49646816506492
P00519	ABL1	-0.956576250390894	NA	1.66121881910827
O14639	ABLIM1	-0.221969146622272	NA	1.17566209836227
Q6H8Q1	ABLIM2	-0.540810144901433	NA	1.41136155040624
O94929	ABLIM3	-2.63355210075435	+	1.99155031291476
Q12979	ABR	-0.506407057397117	NA	1.38742907877045
Q9P1F3	ABRACL	1.95687531013325	NA	0.0503621300133213
Q9ULW3	ABT1	1.3003941032204	NA	0.193465929942274
Q969K4	ABTB1	-1.78706085133704	NA	1.92607234599838
Q8N961	ABTB2	-1.00207090772382	NA	1.68369065249264
P09110	ACAA1	0.532449023015709	NA	0.594415039535397
P42765	ACAA2	0.560567955217378	NA	0.575092101849146
Q13085	ACACA	-0.151086005030563	NA	1.12009212786376
O00763	ACACB	-0.11982499517757	NA	1.09537821869192
Q6JQN1	ACAD10	0.289656955009246	NA	0.77207869006638
Q709F0	ACAD11	-0.6449780073758	NA	1.48105856210337
Q9UKU7	ACAD8	-0.0739719636896199	NA	1.05896730614005
Q9H845	ACAD9	0.551194977816822	NA	0.581500022457157
P28330	ACADL	-0.126109150480216	NA	1.10035447573347
P11310	ACADM	0.0635338752208182	NA	0.949341385196872
P16219	ACADS	-0.386582062219547	NA	1.30093436029413
P45954	ACADSB	-0.701269127332552	NA	1.5168649233888
P49748	ACADVL	0.652274018193279	NA	0.514224417889875
P16112	ACAN	0.481376947293358	NA	0.630248617725045
Q15027	ACAP1	0.10422111802778	NA	0.916993875469955
Q15057	ACAP2	0.0437760649048722	NA	0.965082906228745
Q96P50	ACAP3	0.010162089020641	NA	0.991891965615321
P24752	ACAT1	0.0937830295589781	NA	0.925281512713206
Q9BWD1	ACAT2	0.37720908481899	NA	0.706018229419236
Q9H3P7	ACBD3	0.399097117271426	NA	0.689821646286809
Q5T8D3	ACBD5	-0.240715101423385	NA	1.19022406616575
Q9BR61	ACBD6	0.434512060290575	NA	0.663916638901215
Q8N6N7	ACBD7	-0.068752919455219	NA	1.05481370581045
Q96QU6	ACCS	-1.71811483506075	NA	1.91422432857005
Q96AP0	ACD	0.339663919663352	NA	0.734109635856105
P12821	ACE	-0.685665250182762	NA	1.50707577535425
Q9BYF1	ACE2	-2.2637005594162	+	1.97640746193198
Q9UKV3	ACIN1	-0.531943095258292	NA	1.40523459170307
P53396	ACLY	-1.51559979455932	NA	1.8703794209491
P21399	ACO1	-0.517857001380751	NA	1.39544195556907
Q99798	ACO2	0.320917964862239	NA	0.748272559437589
Q86TX2	ACOT1	0.139636061046928	NA	0.888947547141431
Q8WXI4	ACOT11	-0.27298796679121	NA	1.21513753449577
Q9NPJ3	ACOT13	0.901296985948975	NA	0.367430435910639
P49753	ACOT2	0.00114083978006777	NA	0.999089741750587
Q8N9L9	ACOT4	-0.500176157647883	NA	1.38304895508471
O00154	ACOT7	0.617924186242375	NA	0.536625314963903
O14734	ACOT8	0.263614989390654	NA	0.792076607123087
Q9Y305	ACOT9	-0.455334981674766	NA	1.35113173677999
Q15067	ACOX1	0.329279086747962	NA	0.741944749900498
O15254	ACOX3	-0.632516207877333	NA	1.47295037902821
P24666	ACP1	0.896637125025403	NA	0.369912581128085
P11117	ACP2	0.154228082681886	NA	0.877429900312518
P13686	ACP5	0.549118011233744	NA	0.582924465504731
Q9NPH0	ACP6	-0.023964999035514	NA	1.0191194725929
Q96CM8	ACSF2	-0.808579067458242	NA	1.58124269074534
Q4G176	ACSF3	-0.302172010061125	NA	1.23747905976413
P33121	ACSL1	1.08369725638594	NA	0.278499052502493
O95573	ACSL3	-0.45118104850861	NA	1.34814093262839
O60488	ACSL4	0.895066086199742	NA	0.370751761719508
Q9ULC5	ACSL5	0.728376204019389	NA	0.466383325789555
Q08AH1	ACSM1	-1.21382789983881	NA	1.77518655003076
Q53FZ2	ACSM3	-0.103589918139572	NA	1.08250521122364
Q9NUB1	ACSS1	-0.494957113413482	NA	1.37936960619908
Q9NR19	ACSS2	-1.15974618665864	NA	1.75384784041579
Q9H6R3	ACSS3	-0.991991193410043	NA	1.67879817859693
P68133	ACTA1	0.421997005238695	NA	0.673027203358045
P62736	ACTA2	0.0823330855753436	NA	0.934381845239009
P60709	ACTB	0.618936041757208	NA	0.535958493869396
Q562R1	ACTBL2	0.568929077103102	NA	0.569404271674758
P63261	ACTG1	0.34695993048083	NA	0.728621421837256
P63267	ACTG2	0.622078119408531	NA	0.533890501784206
O96019	ACTL6A	1.25874826045202	NA	0.208121273843251
Q9H568	ACTL8	2.79772724295932	+	0.00514635515226595
P12814	ACTN1	0.48816703035342	NA	0.625431535431979
P35609	ACTN2	0.49703407999656	NA	0.619165018846089
Q08043	ACTN3	0.388659028802625	NA	0.697528394316304
O43707	ACTN4	0.308429537587065	NA	0.757755509018493
P61163	ACTR1A	0.686677105697594	NA	0.492286227219139
P42025	ACTR1B	0.203169936267746	NA	0.839002210148179
P61160	ACTR2	0.640824074209644	NA	0.521636989844291
P61158	ACTR3	0.335509986497196	NA	0.73724041271402
Q9P1U1	ACTR3B	0.335509986497196	NA	0.73724041271402
Q9C0K3	ACTR3C	0.812733000624398	NA	0.416371156281579
Q9H9F9	ACTR5	1.02426405877787	NA	0.305710569133326
Q9GZN1	ACTR6	0.158382015848041	NA	0.874155784184674
Q9H981	ACTR8	-0.726299237436311	NA	1.53234465325596
Q04771	ACVR1	-2.1379485463564	+	1.96747908047693
Q03154	ACY1	0.452192904023443	NA	0.651130019703021
P07311	ACYP1	0.415766105489462	NA	0.677581163335709
P14621	ACYP2	0.412624027838139	NA	0.679882094243231
P00813	ADA	0.199016003101591	NA	0.842250226323999
Q6DHV7	ADAL	-1.60632243111199	NA	1.89179691569486
O14672	ADAM10	-0.800271201125931	NA	1.57644631513761
O43184	ADAM12	-0.937274737787703	NA	1.65138274593543
Q13444	ADAM15	-1.74220217432846	NA	1.91852692633614
P78536	ADAM17	-0.127121005995049	NA	1.1011553740426
P78325	ADAM8	-0.324042318800976	NA	1.2540940044915
Q13443	ADAM9	2.13086120313108	+	0.0331005784261303
O15204	ADAMDEC1	-2.35490646290212	+	1.98147263127816
Q9UHI8	ADAMTS1	1.2513332736604	NA	0.210812910673695
P58397	ADAMTS12	-1.49003712892144	NA	1.86378552635852
Q8TE58	ADAMTS15	-2.73003943457234	+	1.99366732500548
Q8TE57	ADAMTS16	-1.94334839956654	NA	1.94802592265615
O95450	ADAMTS2	-0.0396221317387165	NA	1.03160561728418
O75173	ADAMTS4	0.613716997522807	NA	0.539402354238126
Q9UKP4	ADAMTS7	-1.94542536614961	NA	1.94827619575243
Q8N6G6	ADAMTSL1	-0.353244085783476	NA	1.27609454018467
Q86TH1	ADAMTSL2	-1.39524224384763	NA	1.83705719786574
P82987	ADAMTSL3	-0.170897070899921	NA	1.13569530013445
Q6UY14	ADAMTSL4	-2.37365327113754	+	1.98238691871159
O75689	ADAP1	0.400108972786259	NA	0.689076255682209
