UNIPROT,gene_name,difference,significant,logpval
P04217,A1BG,1.1095061711568297,NA,0.2672118837199198
P01023,A2M,1.066952763937698,NA,0.2859931666333712
A8K2U0,A2ML1,-3.063041818885876,+,1.9978090056088724
Q9NRG9,AAAS,0.7051845225037511,NA,0.48069541193296095
Q86V21,AACS,-0.8708985463873182,NA,1.6161904494351524
Q8N5Z0,AADAT,0.35133556577558017,NA,0.7253366158456117
Q6PD74,AAGAB,-0.1618250795682233,NA,1.1285563972931227
Q2M2I8,AAK1,0.39933994312515886,NA,0.6896427394039527
Q9H7C9,AAMDC,-1.257350335211214,NA,1.791373195277845
Q13685,AAMP,-0.7196475385525497,NA,1.528257965506198
Q9Y312,AAR2,0.8440294765722169,NA,0.39865293422971304
Q5JTZ9,AARS2,0.21562749926975375,NA,0.8292781186918041
Q9BTE6,AARSD1,0.213441976844602,NA,0.8309822419777981
Q9NRN7,AASDHPPT,1.12519050856086,NA,0.2605083142947208
Q9UDR5,AASS,1.6416166016099587,NA,0.10066948492753688
Q9NY61,AATF,0.4228664492312044,NA,0.6723927027422549
P80404,ABAT,0.15179738844105634,NA,0.8793467419875448
O95477,ABCA1,-0.09690220752695,NA,1.0771959442933243
Q86UK0,ABCA12,0.37527576334647256,NA,0.7074553892508135
Q86UQ4,ABCA13,-1.596749111823019,NA,1.8896783565730777
Q9BZC7,ABCA2,-1.2058619980774916,NA,1.7721292945077805
Q99758,ABCA3,-0.19319375437628403,NA,1.1531927701158158
Q8N139,ABCA6,-1.0402238404401412,NA,1.701764082160978
O94911,ABCA8,1.8835667900885256,NA,0.05962359753188245
P08183,ABCB1,0.35895299518367074,NA,0.7196302534085304
Q9NRK6,ABCB10,-0.9918736406266015,NA,1.6787408309885268
Q2M3G0,ABCB5,-0.8854901225787727,NA,1.6241076554067964
Q9NP58,ABCB6,-0.4049323093306942,NA,1.3144727317042106
O75027,ABCB7,-0.12766022165739482,NA,1.1015821290339247
Q9NUT2,ABCB8,0.6234202717745436,NA,0.5330083799603889
P33527,ABCC1,0.38256284450855255,NA,0.7020439239339362
Q5T3U5,ABCC10,0.939292542280303,NA,0.34758056652914715
Q96J66,ABCC11,-0.6607714454494845,NA,1.491241102441937
Q92887,ABCC2,-0.08121787012291963,NA,1.0647313118389647
O15438,ABCC3,-2.6082603142403227,+,1.990899628098262
O15439,ABCC4,0.24140380787227908,NA,0.8092421617577675
O15440,ABCC5,0.17866645825615754,NA,0.8581996077842754
P33897,ABCD1,-0.3130760874029917,NA,1.2457771439877923
P28288,ABCD3,-1.1946129855950929,NA,1.7677617266613819
P61221,ABCE1,0.3792202807994968,NA,0.7045242924596764
Q8NE71,ABCF1,0.4418933503442904,NA,0.6585663827685936
Q9UG63,ABCF2,1.2652567839845574,NA,0.20577929287013783
Q9NUQ8,ABCF3,-0.2548383427798297,NA,1.2011520405423488
P45844,ABCG1,-1.0904792700437431,NA,1.7244979199818253
Q9NUJ1,ABHD10,-0.07112589892442467,NA,1.0567024439951804
Q8NFV4,ABHD11,-0.5998294855971701,NA,1.451380119498729
Q8N2K0,ABHD12,-1.4164435117479977,NA,1.8433543080134487
Q7L211,ABHD13,-0.6995278762268877,NA,1.5157778018278933
Q96IU4,ABHD14B,-0.24249656908485495,NA,1.1916045849877825
O95870,ABHD16A,-0.1898511906672284,NA,1.1505742590512256
Q96GS6,ABHD17A,-0.2469961740778145,NA,1.1950888149939891
Q5VST6,ABHD17B,0.15629699343401587,NA,0.8757989261083962
Q6PCB6,ABHD17C,-1.6695784326376355,NA,1.9049971995299786
Q8WU67,ABHD3,0.6989325510897455,NA,0.48459418368111534
Q8TB40,ABHD4,0.23246887795768803,NA,0.8161738569314072
Q8WTS1,ABHD5,0.5337495722719929,NA,0.5935148069794993
Q9BV23,ABHD6,0.2481532153617184,NA,0.80401586304311
Q8IZP0,ABI1,-0.727489707254565,NA,1.5330739816817083
Q9NYB9,ABI2,1.0681098052216018,NA,0.28547098340328825
Q9P2A4,ABI3,0.5337495722719929,NA,0.5935148069794993
Q7Z7G0,ABI3BP,-1.036676850342213,NA,1.7001135157429896
P00519,ABL1,0.38147008329597665,NA,0.7028544660558317
O14639,ABLIM1,-0.998623048116041,NA,1.6820226692716074
Q6H8Q1,ABLIM2,-0.9716896982296116,NA,1.6687950566779692
O94929,ABLIM3,-0.5068483624212277,NA,1.387738780330453
Q12979,ABR,1.0378338916261167,NA,0.29934739524094045
Q9P1F3,ABRACL,-0.3892479719266638,NA,1.3029072803722792
Q9ULW3,ABT1,0.04650663160580321,NA,0.962906448550237
Q969K4,ABTB1,-1.5362615647033773,NA,1.8755257579382578
Q8N961,ABTB2,1.1599660271493044,NA,0.24606263817599358
P09110,ACAA1,0.3332600297999816,NA,0.7389380080874631
P42765,ACAA2,1.2159539692759864,NA,0.2240024573405789
Q13085,ACACA,0.42845881543673975,NA,0.6683171118832336
O00763,ACACB,-0.5752102182785486,NA,1.4348508671185674
Q6JQN1,ACAD10,-0.5102230661659473,NA,1.3901048058473395
Q709F0,ACAD11,-2.2834531138199723,+,1.97759630833288
Q9UKU7,ACAD8,-1.5273266347887864,NA,1.8733201904312258
