UNIPROT	gene_name	difference	significant	logpval
P04217	A1BG	-0.952127947890109	NA	1.6589679032711
P01023	A2M	0.456585404627698	NA	0.647969071849458
A8K2U0	A2ML1	-2.28125006021713	+	1.97746634598284
Q9NRG9	AAAS	0.321718886605871	NA	0.747665668499056
Q86V21	AACS	0.482578329908806	NA	0.629395168772238
Q8N5Z0	AADAT	-0.0486964232933906	NA	1.03883877370559
Q6PD74	AAGAB	-0.388345913443053	NA	1.30223993584653
Q2M2I8	AAK1	0.191754260200332	NA	0.847934701060307
Q9H7C9	AAMDC	1.15200902840166	NA	0.249317363347475
Q13685	AAMP	0.91478327360286	NA	0.360305417437498
Q9Y312	AAR2	0.074753847148397	NA	0.940410563656642
Q5JTZ9	AARS2	0.727930905018817	NA	0.466655883619597
Q9BTE6	AARSD1	-0.466324689286376	NA	1.35901689099517
Q9NRN7	AASDHPPT	-0.15273262299172	NA	1.12139086684725
Q9UDR5	AASS	0.039021637208611	NA	0.968873137751879
Q9NY61	AATF	-0.316816994989582	NA	1.24861753212932
P80404	ABAT	-2.83206788131058	+	1.99537519705973
O95477	ABCA1	0.198268616164083	NA	0.842834904916117
Q86UK0	ABCA12	-0.271280227110552	NA	1.2138244870587
Q86UQ4	ABCA13	2.75086417677233	+	0.00594382824178007
Q9BZC7	ABCA2	-2.66506127348058	+	1.99230257037013
Q99758	ABCA3	-1.49159401997742	NA	1.86419439315877
Q8N139	ABCA6	1.00190685459062	NA	0.316388581717096
O94911	ABCA8	1.45978803053505	NA	0.144348339167329
P08183	ABCB1	0.498429275799246	NA	0.618181506471934
Q9NRK6	ABCB10	0.269733036043655	NA	0.787365643135496
Q2M3G0	ABCB5	0.831068718267793	NA	0.405934810169546
Q9NP58	ABCB6	-0.555655214135841	NA	1.42155342160682
O75027	ABCB7	-1.14304372662976	NA	1.74697956340461
Q9NUT2	ABCB8	0.316881493563481	NA	0.75133352493513
P33527	ABCC1	0.432204943694054	NA	0.665592466596783
Q5T3U5	ABCC10	-0.15088117439677	NA	1.11993054888035
Q96J66	ABCC11	-3.0286595345533	+	1.99754358657481
Q92887	ABCC2	-1.13264771928587	NA	1.74263777927693
O15438	ABCC3	-0.750634403031099	NA	1.54712728933608
O15439	ABCC4	0.656466485139245	NA	0.511524024814049
O15440	ABCC5	-1.37131864717574	NA	1.82972435474754
P33897	ABCD1	1.12930553038937	NA	0.258768968733266
P28288	ABCD3	-2.07975651535812	+	1.96245212853869
P61221	ABCE1	0.0276698882024696	NA	0.977925440237434
Q8NE71	ABCF1	0.44684611996902	NA	0.65498616890668
Q9UG63	ABCF2	-0.248577503804937	NA	1.19631238825865
Q9NUQ8	ABCF3	0.667818234145386	NA	0.504249625730467
P45844	ABCG1	-0.999276405409935	NA	1.68233918802942
Q9NUJ1	ABHD10	-0.0795912401907868	NA	1.06343763757057
Q8NFV4	ABHD11	-0.134866518021828	NA	1.10728258761066
Q8N2K0	ABHD12	-0.567071461715881	NA	1.42933436894545
Q7L211	ABHD13	-0.430527980772692	NA	1.33318838277231
Q96IU4	ABHD14B	-0.495542543262411	NA	1.37978280085437
O95870	ABHD16A	-0.409436947107872	NA	1.31778096984698
Q96GS6	ABHD17A	-0.303852781635978	NA	1.2387599473232
Q5VST6	ABHD17B	0.074753847148397	NA	0.940410563656642
Q6PCB6	ABHD17C	-0.737670189677495	NA	1.53928510864686
Q8WU67	ABHD3	-0.133189555100466	NA	1.10595652892627
Q8TB40	ABHD4	-0.519923004196055	NA	1.39688275890942
Q8WTS1	ABHD5	-0.0942324164657532	NA	1.07507546528045
Q9BV23	ABHD6	0.0399714796182258	NA	0.968115864082093
Q8IZP0	ABI1	-0.32655627964826	NA	1.25599648417342
Q9NYB9	ABI2	0.516698075501129	NA	0.60536693971485
Q9P2A4	ABI3	1.44122063376267	NA	0.149522360862974
Q7Z7G0	ABI3BP	-0.939163734536504	NA	1.6523533145578
P00519	ABL1	-0.289211605361011	NA	1.22758054863145
O14639	ABLIM1	-0.825388250179496	NA	1.59084879648308
Q6H8Q1	ABLIM2	-1.01714251037983	NA	1.69091436003388
O94929	ABLIM3	-2.31862698379133	+	1.97958472930442
Q12979	ABR	0.376994164436911	NA	0.706177941623412
Q9P1F3	ABRACL	1.55338365377221	NA	0.120331505708344
Q9ULW3	ABT1	0.240515182067621	NA	0.809930895053404
Q969K4	ABTB1	1.80034869322969	NA	0.071805596730747
Q8N961	ABTB2	0.0455359931723626	NA	0.963680086238815
P09110	ACAA1	-0.947290554847719	NA	1.65650925757405
P42765	ACAA2	1.06590343224712	NA	0.286467297306212
Q13085	ACACA	-1.96275610230619	+	1.95032547921532
O00763	ACACB	-0.602803671655667	NA	1.45336069608196
Q6JQN1	ACAD10	-0.510183719537377	NA	1.39007724309828
Q709F0	ACAD11	-0.760373687689777	NA	1.55296875328149
Q9UKU7	ACAD8	-0.64176081029038	NA	1.47897150120694
Q9H845	ACAD9	-0.074753847148397	NA	1.05958943634336
P28330	ACADL	-2.96370947063748	+	1.99696044889926
P11310	ACADM	0.347711811886979	NA	0.728056624975457
P16219	ACADS	0.802684752167213	NA	0.422156968241789
P45954	ACADSB	-0.783141684275959	NA	1.56645608483253
P49748	ACADVL	-0.396472733754268	NA	1.30824368133188
P16112	ACAN	-0.849768711113141	NA	1.6045463114851
Q15027	ACAP1	1.24462898051995	NA	0.21326816250027
Q15057	ACAP2	0.654854020791781	NA	0.512561745916565
Q96P50	ACAP3	0.225945870764306	NA	0.821243520473787
P24752	ACAT1	-0.477676438292518	NA	1.36711948321561
Q9BWD1	ACAT2	0.690586230731567	NA	0.489825602920158
Q9H3P7	ACBD3	-0.0210910336648195	NA	1.01682696259555
Q5T8D3	ACBD5	-0.151120158644257	NA	1.12011906917858
Q9BR61	ACBD6	0.0227679965861813	NA	0.981835336428466
Q8N6N7	ACBD7	-0.107196629819358	NA	1.08536701096028
Q96QU6	ACCS	-0.994669651431386	NA	1.68010304053826
Q96AP0	ACD	0.776691826886106	NA	0.437340610032843
P12821	ACE	-0.929359951303928	NA	1.64729742456994
Q9BYF1	ACE2	3.6168865285079	+	0.000298167934775164
Q9UKV3	ACIN1	0.259187519211245	NA	0.795490560384002
P53396	ACLY	-1.42090358298463	NA	1.84465520876184
P21399	ACO1	2.59813155378061	+	0.00937325760311302
Q99798	ACO2	0.329845706917086	NA	0.741516549148538
Q86TX2	ACOT1	-0.944001127578894	NA	1.65483092793158
Q8WXI4	ACOT11	-0.0909429891969282	NA	1.07246210873925
Q9NPJ3	ACOT13	0.0146411762749664	NA	0.988318448850457
P49753	ACOT2	-1.46231166742749	NA	1.85634417726669
Q8N9L9	ACOT4	-2.35439144301806	+	1.98144693802688
O00154	ACOT7	-0.0227034980122828	NA	1.01811321445434
O14734	ACOT8	0.376994164436911	NA	0.706177941623412
Q9Y305	ACOT9	0.493994577488846	NA	0.621310009049476
Q15067	ACOX1	-0.571102622584539	NA	1.43206991904787
O15254	ACOX3	-2.15128543381159	+	1.96854632273788
P24666	ACP1	0.618251080104365	NA	0.536409843599567
P11117	ACP2	0.112130770722595	NA	0.910719719762647
P13686	ACP5	-0.635310952900527	NA	1.47477436849233
Q9NPH0	ACP6	1.03991050696601	NA	0.298381480524336
Q96CM8	ACSF2	-0.766888043653529	NA	1.55685191699732
Q4G176	ACSF3	0.661303878181634	NA	0.508417454880335
P33121	ACSL1	-0.110486057088183	NA	1.08797609299863
O95573	ACSL3	-1.12924103181547	NA	1.74120383111126
O60488	ACSL4	0.480965865561343	NA	0.630540759068138
Q9ULC5	ACSL5	0.563846533020955	NA	0.572858580142869
Q08AH1	ACSM1	-1.18283934672515	NA	1.7631271765898
Q53FZ2	ACSM3	-1.33073457667448	NA	1.81672363839167
Q9NUB1	ACSS1	-0.0486964232933906	NA	1.03883877370559
Q9NR19	ACSS2	0.172275690882975	NA	0.863220794482728
Q9H6R3	ACSS3	-0.584937566685774	NA	1.44141030239186
P68133	ACTA1	-0.565394498794519	NA	1.42819453447981
P62736	ACTA2	-1.8393058318644	NA	1.93412978423629
P60709	ACTB	0.227486470140117	NA	0.820045488739956
Q562R1	ACTBL2	-0.295725961324763	NA	1.23256063078255
P63261	ACTG1	0.16414887057176	NA	0.869613950392561
P63267	ACTG2	0.0877825590759002	NA	0.930049500086845
O96019	ACTL6A	0.529726787428632	NA	0.596301372462007
Q9H568	ACTL8	-4.55598576447051	+	1.99999478595323
P12814	ACTN1	-1.88558355863659	NA	1.94064890531645
P35609	ACTN2	3.62662581316658	+	0.00028714893972669
Q08043	ACTN3	-0.318429459337046	NA	1.2498408050054
O43707	ACTN4	0.722255030515746	NA	0.470137695291771
P61163	ACTR1A	-0.225809507218756	NA	1.17865041764278
P42025	ACTR1B	-0.191689761626433	NA	1.15201477369552
P61160	ACTR2	0.363965452509408	NA	0.715883807506771
P61158	ACTR3	0.279472320702333	NA	0.779882376976496
Q9P1U1	ACTR3B	-0.640148345942916	NA	1.47792383937198
Q9C0K3	ACTR3C	0.61583238358317	NA	0.538005151908097
Q9H9F9	ACTR5	0.308754673252266	NA	0.757508151031791
Q9GZN1	ACTR6	0.274634927659943	NA	0.783596729366114
Q9H981	ACTR8	-0.43542987238898	NA	1.33674956876426
Q04771	ACVR1	-1.13885730491905	NA	1.74523732419131
Q03154	ACY1	-0.82216332148457	NA	1.5890160492245
P07311	ACYP1	-0.984635229134968	NA	1.67519672138974
P14621	ACYP2	-0.0942324164657532	NA	1.07507546528045
P00813	ADA	1.19103066561027	NA	0.233641546598753
Q6DHV7	ADAL	0.120225341746861	NA	0.904304643560178
O14672	ADAM10	0.25676882269005	NA	0.797357239202445
O43184	ADAM12	-0.890461839500087	NA	1.62678204989596
Q13444	ADAM15	0.113579688821149	NA	0.909570989114478
P78536	ADAM17	0.9261995211829	NA	0.35434230134446
P78325	ADAM8	-0.128411093678301	NA	1.10217634764579
Q13443	ADAM9	0.867699314656932	NA	0.385558961153266
O15204	ADAMDEC1	-1.50455823333102	NA	1.86756230884552
Q9UHI8	ADAMTS1	2.05705301734584	+	0.0396811263364349
P58397	ADAMTS12	-0.843254355149389	NA	1.6009137951635
Q8TE58	ADAMTS15	-1.96275610230619	+	1.95032547921532
Q8TE57	ADAMTS16	0.0702593940849413	NA	0.943987201427493
O95450	ADAMTS2	-0.237225754798796	NA	1.18751834294398
O75173	ADAMTS4	0.125127233363149	NA	0.900422823620693
Q9UKP4	ADAMTS7	-0.0682394911846454	NA	1.05440500919729
Q8N6G6	ADAMTSL1	-1.24462898051995	NA	1.78673183749973
Q86TH1	ADAMTSL2	-0.69703608812142	NA	1.51421979049896
P82987	ADAMTSL3	-0.160859443302935	NA	1.12779589420435
Q6UY14	ADAMTSL4	-0.628796596936775	NA	1.47051777176944
O75689	ADAP1	0.302240317288514	NA	0.7624688717471
Q9NPF8	ADAP2	1.02855875795987	NA	0.303687066447319
P55265	ADAR	1.30151672269845	NA	0.193081644258686
P78563	ADARB1	0.336360062880837	NA	0.736599361943611
Q9NS39	ADARB2	-0.198204117590185	NA	1.15711463397431
Q9BUB4	ADAT1	0.448458584316483	NA	0.653822269522479
Q7Z6V5	ADAT2	0.518375038422491	NA	0.604196627117712
Q96EY9	ADAT3	0.945678090500256	NA	0.344312800701906
Q86TW2	ADCK1	-0.817261429868281	NA	1.58622095643559
Q3MIX3	ADCK5	-0.186852368584043	NA	1.14822361427796
O60266	ADCY3	-0.424348455438775	NA	1.32868829413612
O95622	ADCY5	-0.70187348116381	NA	1.51724193173735
O43306	ADCY6	-1.11298739119304	NA	1.73428615521958
P51828	ADCY7	-0.739282654024958	NA	1.54026461999563
O60503	ADCY9	-0.537789109165948	NA	1.4092773483708
P35611	ADD1	0.074753847148397	NA	0.940410563656642
P35612	ADD2	-0.142993338333042	NA	1.11370455763204
Q9UEY8	ADD3	-0.193334475260846	NA	1.15330297172774
Q8N7X0	ADGB	-2.13473337343064	+	1.96721720470029
Q9UHX3	ADGRE2	1.02855875795987	NA	0.303687066447319
P48960	ADGRE5	1.40387595947542	NA	0.160355789606196
Q8IZF2	ADGRF5	0.627184132589312	NA	0.530538543078149
Q9Y653	ADGRG1	-0.625571668241848	NA	1.4684040732702
Q86SQ4	ADGRG6	0.721416549055065	NA	0.470653267645768
O94910	ADGRL1	-0.406212018412946	NA	1.31541317584312
O95490	ADGRL2	0.857960029998254	NA	0.390914534614083
Q9HBW9	ADGRL4	-0.616583479310425	NA	1.46249050582556
Q8WXG9	ADGRV1	-1.26900944145359	NA	1.79556230331426
P00325	ADH1B	-0.726253942097455	NA	1.53231689109611
P00326	ADH1C	-0.164084371997862	NA	1.1303352755965
P11766	ADH5	-0.831902606143248	NA	1.59453607929624
Q8IWW8	ADHFE1	-1.3518256103393	NA	1.82356889069328
Q9BV57	ADI1	0.763663114958602	NA	0.445068026873303
Q15848	ADIPOQ	-1.08538200156447	NA	1.72224749941824
Q96A54	ADIPOR1	-0.255091859768689	NA	1.20134784879575
Q15847	ADIRF	-2.75731403416218	+	1.99417216477168
P55263	ADK	-0.812424036825892	NA	1.58345164162809
Q9H2P0	ADNP	1.22837533989752	NA	0.219306100696216
Q6IQ32	ADNP2	0.432204943694054	NA	0.665592466596783
Q96SZ5	ADO	-0.133189555100466	NA	1.10595652892627
Q9BRR6	ADPGK	0.840029426454463	NA	0.400891887676046
P54922	ADPRH	0.74095961694632	NA	0.458717926115476
Q16186	ADRM1	0.383508520400663	NA	0.7013427539467
P30566	ADSL	1.13743235070059	NA	0.255357589782106
Q8IUX7	AEBP1	-1.14388220809044	NA	1.74732750942309
Q8N556	AFAP1	-0.324943815300797	NA	1.2547764051095
Q8TED9	AFAP1L1	0.162471907650399	NA	0.870934248782724
Q8N4X5	AFAP1L2	0.0406341015560743	NA	0.967587597487818
P55196	AFDN	0.784012415023589	NA	0.433032825557047
P51825	AFF1	1.1043263703037	NA	0.269451587674885
P51816	AFF2	-0.833515070490711	NA	1.59544569803903
P51826	AFF3	-2.45997560848996	+	1.98610535413679
Q9UHB7	AFF4	0.389958377790516	NA	0.69656732494407
Q9Y4W6	AFG3L2	-0.802620253593315	NA	1.57780574171919
P43652	AFM	-0.316816994989582	NA	1.24861753212932
Q63HM1	AFMID	-2.93603958243501	+	1.99667568099145
