UNIPROT	gene_name	mf	final_score	method
P10275	AR	tf	3.84036064546528	VIPER
P18848	ATF4	tf	2.08290421406758	VIPER
P18850	ATF6	tf	4.07900082229286	VIPER
Q99626	CDX2	tf	-2.75012087211602	VIPER
P49711	CTCF	tf	2.192817888948	VIPER
Q16254	E2F4	tf	6.74400032232212	VIPER
P58012	FOXL2	tf	-2.34793870870344	VIPER
Q14526	HIC1	tf	-2.38470333694311	VIPER
SIGNOR-C418	HIF_1_COMPLEX	tf	2.71143579336961	VIPER
Q16665	HIF1A	tf	3.23118656647299	VIPER
P20823	HNF1A	tf	-2.98901611040595	VIPER
P01106	MYC	tf	11.7457443971361	VIPER
P04198	MYCN	tf	2.21619199323946	VIPER
Q13469	NFATC2	tf	-2.95406765625154	VIPER
Q16236	NFE2L2	tf	2.68437499750153	VIPER
P19838	NFKB1	tf	-2.51222629181734	VIPER
P23511	NFYA	tf	2.57520364997444	VIPER
P24468	NR2F2	tf	-2.5265304093097	VIPER
Q13285	NR5A1	tf	-2.71169677227993	VIPER
P26367	PAX6	tf	-2.1132511007267	VIPER
P84022	SMAD3	tf	2.17328370937624	VIPER
SIGNOR-C73	SOX2_POU5F1	tf	-2.83936827170599	VIPER
P17947	SPI1	tf	-3.31884018765671	VIPER
P19532	TFE3	tf	2.86075991677291	VIPER
P19484	TFEB	tf	3.64044525690974	VIPER
P04637	TP53	tf	2.07156886091055	VIPER
P03372	ESR1	tf	-2.65530563900989	PhosphoScore
P14921	ETS1	tf	-2.25513900173538	PhosphoScore
Q00613	HSF1	tf	2.29665206416878	PhosphoScore
Q2M2I8	AAK1	kin	4.86634913569371	VIPER
P27037	ACVR2A	kin	2.95195556484464	VIPER
Q13705	ACVR2B	kin	2.71751741771164	VIPER
P31749	AKT1	kin	-4.44334703072353	VIPER
Q9Y243	AKT3	kin	-2.90387847852993	VIPER
O00238	BMPR1B	kin	2.24746688315922	VIPER
P51813	BMX	kin	-2.01198268172278	VIPER
Q16566	CAMK4	kin	-3.15491054479186	VIPER
P06493	CDK1	kin	10.0603191962715	VIPER
Q15131	CDK10	kin	6.22471855460073	VIPER
Q9NYV4	CDK12	kin	3.89626981964773	VIPER+PhosphoScore
Q14004	CDK13	kin	3.60205624416143	VIPER
O94921	CDK14	kin	3.82983359882276	VIPER
Q00536	CDK16	kin	6.09568250182374	VIPER
Q00537	CDK17	kin	3.90233287877611	VIPER
Q07002	CDK18	kin	3.87876261017499	VIPER
Q9BWU1	CDK19	kin	1.97122689105085	VIPER
P24941	CDK2	kin	10.8859252693925	VIPER
Q00526	CDK3	kin	7.99116103173803	VIPER
P11802	CDK4	kin	5.53372643154376	VIPER
Q00535	CDK5	kin	7.6488907728379	VIPER
Q15078	CDK5R1	kin	-2.02886803024057	VIPER
Q00534	CDK6	kin	6.70957288977984	VIPER
P50613	CDK7	kin	3.81029264868577	VIPER
P49336	CDK8	kin	1.98592237973929	VIPER
P50750	CDK9	kin	4.64084735556337	VIPER
P38936	CDKN1A	kin	-2.0551069988413	VIPER
P49761	CLK3	kin	3.75470071135651	VIPER
P07333	CSF1R	kin	-1.98194078246546	VIPER
P53355	DAPK1	kin	-8.43703631411647	VIPER
Q9UIK4	DAPK2	kin	-2.78979184289595	VIPER
Q9BY84	DUSP16	phos	-2.05785454993861	VIPER
Q16828	DUSP6	phos	-2.35006289654585	VIPER
Q16829	DUSP7	phos	-2.1418362165704	VIPER
Q13202	DUSP8	phos	-2.26993627861984	VIPER
Q9Y463	DYRK1B	kin	2.79946524948902	VIPER
Q9NR20	DYRK4	kin	2.95247790672631	VIPER
P00533	EGFR	kin	-2.49648537132177	VIPER
P21709	EPHA1	kin	-2.11841700887868	VIPER
P54764	EPHA4	kin	-1.84768821864677	VIPER
Q9UF33	EPHA6	kin	-2.12250578472257	VIPER
Q15303	ERBB4	kin	-2.66847801638648	VIPER
P16591	FER	kin	-2.33997472184392	VIPER
