UNIPROT	gene_name	mf	final_score	method
P10275	AR	tf	5.74036695270191	VIPER
P15336	ATF2	tf	1.97101675592278	VIPER
P18850	ATF6	tf	4.44448591208473	VIPER
Q99626	CDX2	tf	-3.54391572916446	VIPER
Q16254	E2F4	tf	6.90768668134601	VIPER
P19419	ELK1	tf	2.4114604781182	VIPER
Q92731	ESR2	tf	3.60634985622176	VIPER
O43524	FOXO3	tf	2.53454826199656	VIPER
P98177	FOXO4	tf	1.96288777746493	VIPER
SIGNOR-C418	HIF_1_COMPLEX	tf	2.49307025086925	VIPER
Q16665	HIF1A	tf	3.6424058463973	VIPER
P20823	HNF1A	tf	-4.19709335202448	VIPER
P01106	MYC	tf	11.8098839130199	VIPER
P04198	MYCN	tf	2.82157651606393	VIPER
SIGNOR-C93	MYOD1_SWI_SNF_COMPLEX	tf	-2.66686658994132	VIPER
Q13469	NFATC2	tf	-2.94478330930217	VIPER
Q16236	NFE2L2	tf	3.83507681036673	VIPER
P24468	NR2F2	tf	-1.96888649724843	VIPER
Q13285	NR5A1	tf	-2.27984134187211	VIPER
SIGNOR-C104	RFX_COMPLEX	tf	4.48767663369754	VIPER
P48382	RFX5	tf	3.98484215438454	VIPER
P84022	SMAD3	rec	0	constrains
SIGNOR-C451	SOX17_POU5F1	tf	-3.07071550517831	VIPER
SIGNOR-C73	SOX2_POU5F1	tf	-3.40198365934765	VIPER
P08047	SP1	tf	2.00976572560984	VIPER
Q12772	SREBF2	tf	2.61416884420911	VIPER
Q92754	TFAP2C	tf	3.30989656383136	VIPER
P19532	TFE3	tf	4.22106472059421	VIPER
P19484	TFEB	tf	5.11790915589251	VIPER
Q15853	USF2	tf	2.88650913687265	VIPER
P11473	VDR	tf	2.85330166682619	VIPER
P46937	YAP1	tf	1.96122278880599	VIPER
P03372	ESR1	tf	3.63984687641516	PhosphoScore
P14921	ETS1	tf	-2.00931091195564	PhosphoScore
P41212	ETV6	tf	2.17054003846079	PhosphoScore
Q13263	TRIM28	tf	2.29394030294059	PhosphoScore
P31749	AKT1	rec	0	constrains
Q96GD4	AURKB	kin	-4.48855793010813	VIPER
P30530	AXL	kin	-3.08824035058361	VIPER
P51451	BLK	kin	-4.03520967785125	VIPER
P36894	BMPR1A	kin	2.31734793510667	VIPER
O00238	BMPR1B	kin	2.25974904533558	VIPER
P51813	BMX	kin	-3.58035295417274	VIPER
Q8TDC3	BRSK1	kin	3.03528804645028	VIPER
Q8IWQ3	BRSK2	kin	2.99638149885333	VIPER
Q06187	BTK	kin	-2.14340695573243	VIPER
Q96NX5	CAMK1G	kin	2.00428507368965	VIPER
Q8N5S9	CAMKK1	kin	-2.86159786906768	VIPER
O00311	CDC7	kin	3.13536530326482	VIPER
P06493	CDK1	kin	-2.25816858610059	VIPER
Q9BWU1	CDK19	kin	2.05158830862443	VIPER
P24941	CDK2	kin	-4.53142237548274	VIPER
Q00526	CDK3	kin	-2.44592321254682	VIPER
SIGNOR-C144	CDK5_CDK5R1	kin	-3.2079482375868	VIPER
Q00534	CDK6	kin	-2.26765722629591	VIPER
P50613	CDK7	kin	1.96805228908462	VIPER
P38936	CDKN1A	kin	-2.90106152364332	VIPER
P49759	CLK1	kin	-2.55559843513379	VIPER
Q9HAZ1	CLK4	kin	-2.54041333369615	VIPER
P07333	CSF1R	kin	-4.10078077135669	VIPER
P41240	CSK	kin	-2.54253838321375	VIPER
SIGNOR-C16	CYCLINE_CDK2	kin	-2.43990914116706	VIPER
P53355	DAPK1	kin	-2.44305891619054	VIPER
O00418	EEF2K	kin	-2.9932974016676	VIPER
P00533	EGFR	kin	-2.78538750641648	VIPER
P21709	EPHA1	kin	-2.72290365989038	VIPER
P29322	EPHA8	kin	-3.81050584724455	VIPER
P54760	EPHB4	kin	-2.14118895435439	VIPER
P04626	ERBB2	kin	-2.79194174663095	VIPER+PhosphoScore
P16591	FER	kin	-2.93032033898779	VIPER
P07332	FES	kin	-2.59175447210905	VIPER
P21802	FGFR2	kin	-2.68632699962657	VIPER
P22607	FGFR3	kin	-2.27365624887456	VIPER
P42685	FRK	kin	-3.84793565472921	VIPER
P06241	FYN	kin	-3.15981851996435	VIPER
P35557	GCK	kin	-5.38509656386456	VIPER
P35626	GRK3	kin	2.4142724966824	VIPER
P08631	HCK	kin	-2.95490718540456	VIPER
P57058	HUNK	kin	2.35483189325672	VIPER
Q9NWZ3	IRAK4	kin	-3.41481450614194	VIPER
Q08881	ITK	kin	-2.19178129226511	VIPER
P10721	KIT	kin	-2.07389037622398	VIPER
P06239	LCK	kin	-3.47024452335623	VIPER
Q5S007	LRRK2	kin	-6.20683093253669	VIPER
P29376	LTK	kin	-2.40830412888943	VIPER
P07948	LYN	kin	-3.46289931462456	VIPER
Q6P0Q8	MAST2	kin	7.64738941072997	VIPER
P42679	MATK	kin	-3.77529722279454	VIPER
Q14680	MELK	kin	2.10975471432925	VIPER
P08581	MET	kin	-3.42991423684317	VIPER
P00540	MOS	kin	3.19979503268941	VIPER
Q04912	MST1R	kin	-2.0018390001242	VIPER
Q8NEV4	MYO3A	kin	-6.77400186417218	VIPER
Q8WXR4	MYO3B	kin	-8.4563876382613	VIPER
Q96PY6	NEK1	kin	-2.53014047109311	VIPER
Q8NG66	NEK11	kin	-5.01668609784967	VIPER
P51957	NEK4	kin	-4.57067896036075	VIPER
Q86SG6	NEK8	kin	-5.09943241743398	VIPER
Q9H093	NUAK2	kin	2.30952703406163	VIPER
Q13153	PAK1	kin	-4.50099856267138	VIPER
Q13177	PAK2	kin	-7.46756365413102	VIPER
O75914	PAK3	kin	-8.09904757868193	VIPER
O96013	PAK4	kin	-4.7536483789793	VIPER
Q9P286	PAK5	kin	-5.42489231124246	VIPER
Q9NQU5	PAK6	kin	-3.26373608223681	VIPER
Q15118	PDK1	kin	-2.02305830089793	VIPER
Q16654	PDK4	kin	-2.01691579845995	VIPER
Q8NEB9	PIK3C3	kin	-2.21181236503655	VIPER
Q86V86	PIM3	kin	2.55278104823467	VIPER
Q9BXM7	PINK1	kin	-3.31510073964744	VIPER
Q16513	PKN2	kin	-5.85612812345467	VIPER
P22694	PRKACB	kin	-2.08882963700479	VIPER
P60484	PTEN	rec	0	constrains
Q14289	PTK2B	kin	-3.3898256079456	VIPER
Q13882	PTK6	kin	-2.35817077157292	VIPER
