source,target,sign,mechanism
NFKB_P65_P50,APOPTOSIS,1,NaN
GRK2,MAPK14_INHIBITED,-1,phosphorylation
MAPK1,CEBPA,1,phosphorylation
NFKB_P65_P50,JUN_INHIBITED,-1,binding
PRKCZ,SP1,1,phosphorylation
PRKCZ,STK11,1,phosphorylation
NFKB_P65_P50,MAP3K8_INHIBITED,-1,binding
MAPK3,JUN_INHIBITED,-1,phosphorylation
MAPK3,JUND_INHIBITED,-1,phosphorylation
BMP7,BMPR2,1,binding
CALCIUM_2__,CALM1_INHIBITED,-1,chemical activation
CALCIUM_2__,CALM2_INHIBITED,-1,chemical activation
CALCIUM_2__,CALM3_INHIBITED,-1,chemical activation
CALCIUM_2__,CAMK2D,1,chemical activation
CALCIUM_2__,CAMK2G,1,chemical activation
CAMK2G,MAP3K7,1,phosphorylation
CAMK2G,STAT1,1,phosphorylation
CAMKK2,AKT1_INHIBITED,-1,phosphorylation
CSNK2A1,TFAP2A,1,phosphorylation
CDK5,PIK3C3_INHIBITED,-1,phosphorylation
CHEK2,ULK1,1,phosphorylation
EPHA2,YES1,1,phosphorylation
FYN,PROLIFERATION,1,NaN
IRAK1,STAT3,1,phosphorylation
CCND1,CYCLIND_CDK4,1,binding
MAPK1,ELK1,1,phosphorylation
MAPK1,ETS1,1,phosphorylation
MAPK1,RPS6KA1,1,phosphorylation
MAPK1,STAT3,1,phosphorylation
CDK5,RB1_INHIBITED,-1,phosphorylation
CYCLIND_CDK4,RUNX3_INHIBITED,-1,phosphorylation
CSNK1G1,LYN,1,phosphorylation
MAPK3,HNF4A_INHIBITED,-1,phosphorylation
MAPK1,JUN_INHIBITED,-1,phosphorylation
MAPK1,JUND_INHIBITED,-1,phosphorylation
MAPK1,NCF1,1,phosphorylation
MAPK1,RPS6KA3_INHIBITED,-1,phosphorylation
MAPK3,SOX9_INHIBITED,-1,transcriptional regulation
MAPK3,RPS6KA1,1,phosphorylation
NFKB1,NFKB_P65_P50,1,binding
MYC,CCND1,1,transcriptional regulation
STAT3,S100A9,1,transcriptional regulation
RELA,JUN_INHIBITED,-1,binding
SRC,HNF4A_INHIBITED,-1,phosphorylation
MAPK8,STAT3,1,phosphorylation
STAT3,CCND1,1,transcriptional regulation
CAMK2B,CAMK2G,1,phosphorylation
CAMK2G,ADCY3_INHIBITED,-1,phosphorylation
MYC,HNRNPA1,1,transcriptional regulation
NFKB_P65_P50,APOPTOSIS_INHIBITED,-1,NaN
NFKB_P65_P50,TNF,1,transcriptional regulation
NLK,STAT3,1,phosphorylation
PLK1,CHEK2,1,phosphorylation
PLK1,NPM1,1,phosphorylation
PRKAR1A,PRKACB_INHIBITED,-1,binding
RELA,APOPTOSIS_INHIBITED,-1,NaN
RELA,NFKB_P65_P50,1,binding
RELA,PROLIFERATION,1,NaN
RPS6KA1,RELA,1,phosphorylation
STAT3,TGFB1_INHIBITED,-1,transcriptional regulation
TBK1,AKT1_INHIBITED,-1,phosphorylation
TBK1,NFKB_P65_P50,1,phosphorylation
TBK1,RELA,1,phosphorylation
TNF,RIPK2,1,transcriptional regulation
VRK2,PLK1,1,phosphorylation
CDKN1A,CYCLINB_CDK1_INHIBITED,-1,binding
CSNK2A1,HIF1A,1,phosphorylation
CSNK2A1,MYCN,1,phosphorylation
CSNK2A1,RELA,1,phosphorylation
CSNK2A1,STAT1,1,phosphorylation
DUSP16,MAPK14_INHIBITED,-1,dephosphorylation
DUSP16,PROLIFERATION,1,NaN
DUSP7,MAPK14_INHIBITED,-1,dephosphorylation
EIF2AK2,EIF2S1_INHIBITED,-1,phosphorylation
ESR2,CDKN1A,1,transcriptional regulation
MAPK1,CDKN1A,1,phosphorylation
MAPK1,CSNK2A1,1,phosphorylation
MAPK1,DUSP16,1,phosphorylation
MAPK1,EIF2AK2,1,phosphorylation
MAPK1,EIF2S1_INHIBITED,-1,phosphorylation
MAPK1,SOX10_INHIBITED,-1,phosphorylation
MAPK1,SP1,1,phosphorylation
MAPK1,SREBF2,1,phosphorylation
MAPK1,TP53_INHIBITED,-1,phosphorylation
MAPK3,CDKN1A,1,phosphorylation
MAPK3,NFATC1_INHIBITED,-1,phosphorylation
MAPK3,RUNX2,1,phosphorylation
MAPK3,TP53_INHIBITED,-1,phosphorylation
MARK2,EIF2S1_INHIBITED,-1,phosphorylation
MARK2,PINK1,1,phosphorylation
CHEK1,PLK1,1,phosphorylation
NANOG,CDX2_INHIBITED,-1,transcriptional regulation
PDPK1,PRKCE_INHIBITED,-1,phosphorylation
PRKCI,CDK7,1,phosphorylation
PLK2,NPM1,1,phosphorylation
PLK2,PLK1,1,phosphorylation
PRKACA,NFATC1_INHIBITED,-1,phosphorylation
PRKCA,AKT1_INHIBITED,-1,phosphorylation
PRKCA,PROLIFERATION,1,NaN
PRKCA,RELA,1,phosphorylation
PRKCB,TFEB,1,phosphorylation
PRKCD,TP53_INHIBITED,-1,phosphorylation
RELA,SP1,1,binding
STK11,TP53_INHIBITED,-1,phosphorylation
TFEB,TBK1,1,transcriptional regulation
PRKCZ,NFE2L2,1,phosphorylation
BRAF,NFE2L2,1,transcriptional regulation
CDK2,MASTL,1,phosphorylation
CDK2,NPM1,1,phosphorylation
EGFR,APOPTOSIS_INHIBITED,-1,NaN
EGFR,PROLIFERATION,1,NaN
EGFR,STAT1,1,phosphorylation
EGFR,STAT3,1,phosphorylation
MAPK1,POU5F1_INHIBITED,-1,phosphorylation
MAPK1,TSC2,1,phosphorylation
PRKCD,SLC9A1_INHIBITED,-1,phosphorylation
NPM1,HOXA9_INHIBITED,-1,transcriptional regulation
RPS6KA1,CHEK1,1,phosphorylation
RPS6KA1,PROLIFERATION,1,NaN
CSNK2A1,VDR,1,phosphorylation
SP1,TGFB1_INHIBITED,-1,transcriptional regulation
TSC2,PROLIFERATION,1,NaN
EGFR,ESR1,1,phosphorylation
IGF1R,ESR1,1,phosphorylation
MAP3K13,TRIM25,1,phosphorylation
TRIM25,MAVS_INHIBITED,-1,polyubiquitination
PLK1,MAP2K2,1,phosphorylation
PLCG1,X1_2_DIACYL_SN_GLYCEROL,1,chemical modification
BRAF,NANOG_INHIBITED,-1,phosphorylation
CDK7,CDK12,1,phosphorylation
MAPK1,RPS6KA5,1,phosphorylation
