gene_name,sign,mf
PRKCD,1,kin
TP53,1,tf
YAP1,1,tf
KSR1,1,kin
AKT2,1,kin
ABL1,1,kin
BTK,1,kin
LYN,1,kin
PRKACA,1,kin
YES1,1,kin
PPM1A,1,phos
PPP1R1B,1,other
CEBPA,1,tf
MDM2,1,other
ESR1,1,tf
MAPK3,1,kin
PPP2CA,1,phos
RHOA,1,other
VRK1,1,kin
STK11,1,kin
GNAS,1,other
ATM,1,kin
NEK1,1,kin
PDGFRB,1,kin
MAPK1,1,kin
MAP3K7,1,kin
MAPK8,1,kin
PAX3_FOXO1,1,fusion protein
TBK1,1,kin
PLK1,1,kin
PRKD1,1,kin
CDK5,1,kin
SMG1,1,kin
CYCLINA2_CDK2,1,kin
SYK,1,kin
BRAF,1,kin
ITK,1,kin
MET,1,kin
MYD88,1,other
NEK5,1,kin
S100A9,1,other
TLR4,1,other
SRC,1,kin
RET,1,kin
PLK3,1,kin
FGFR1,1,kin
MAPK14,1,kin
MAPKAPK2,1,kin
PTK2B,1,kin
FGR,1,kin
HIF1A,1,tf
HIF_1_COMPLEX,1,tf
JAK1,1,kin
PAX3,1,tf
PRKCA,1,kin
PTEN,1,phos
RPS6KA3,1,kin
STK4,1,kin
NEK8,1,kin
ATF4,1,tf
AURKA,1,kin
AXIN1,1,other
CAMK4,1,kin
DUSP16,1,phos
HCK,1,kin
MOB1A,1,other
NEK2,1,kin
NRBF2,1,other
SMURF1,1,other
STK3,1,kin
PAK1,1,kin
ROCK1,1,kin
VCB_CUL2,1,tf
VHL,1,tf
BLVRA,1,other
CCNA2,1,other
RIPK1,1,kin
IGF1R,1,kin
DUSP7,1,phos
MYC,1,tf
RPS6,1,other
TSC2_INHIBITED,-1,other
PROLIFERATION,1,phenotype
HSF1_INHIBITED,-1,tf
BMX,1,kin
CBL_INHIBITED,-1,other
ADRB2_INHIBITED,-1,other
CDK4_INHIBITED,-1,kin
IKBKE_INHIBITED,-1,kin
PPP1CA_INHIBITED,-1,phos
CAPN2_INHIBITED,-1,other
SPI1,1,tf
DYRK2_INHIBITED,-1,kin
PRKD1_INHIBITED,-1,kin
PIK3R1,1,kin
AKT3_INHIBITED,-1,kin
PKN2,1,kin
PKN1,1,kin
ATF2,1,tf
MELK,1,kin
VHL_INHIBITED,-1,tf
TNK2,1,kin
SMAD1,1,tf
MECOM,1,tf
SP1,1,tf
GTF2I,1,tf
SLC9A1,1,other
IL6ST_INHIBITED,-1,NaN
MAP2K6,1,kin
FGFR4,1,kin
CHEK1_INHIBITED,-1,kin
NFKB_P65_P50_INHIBITED,-1,tf
RAF1,1,kin
NF2_INHIBITED,-1,other
SSH1,1,phos
MASTL,1,kin
STAT1,1,tf
APOPTOSIS_INHIBITED,-1,phenotype
NANOG,1,tf
DAB2_INHIBITED,-1,other
RHOA_INHIBITED,-1,other
RANBP9_INHIBITED,-1,other
IRAK1,1,kin
IRAK4,1,kin
CTBP1_INHIBITED,-1,tf
HIPK2,1,kin
PTPN12_INHIBITED,-1,phos
PDK1,1,kin
SREBF1,1,tf
ETS1,1,tf
TGFB1I1_INHIBITED,-1,tf
RIPK2,1,kin
ERBB2,1,kin
MAP3K14,1,kin
MORC2,1,other
PTPN11_INHIBITED,-1,phos
STAT5A_INHIBITED,-1,tf
MAP3K5_INHIBITED,-1,kin
RUNX2,1,tf
FOXO3,1,tf
PTPN6_INHIBITED,-1,phos
GSK3B_INHIBITED,-1,kin
MARK2,1,kin
DYRK3_INHIBITED,-1,kin
AR,1,tf
BMPR1A_INHIBITED,-1,kin
MTOR_INHIBITED,-1,kin
TYK2,1,kin
FOXO4,1,tf
FOSL1,1,tf
NEK11,1,kin
NPM1,1,tf
PIK3C3_INHIBITED,-1,kin
EEF2K,1,kin
SNAI2_INHIBITED,-1,tf
TGFBR1_INHIBITED,-1,kin
LIMK1,1,kin
PRKCI_INHIBITED,-1,kin
PRKCB,1,kin
APOPTOSIS,1,phenotype
IRS2,1,other
RPS6KB2,1,kin
MAPK1_INHIBITED,-1,kin
PRKCD_INHIBITED,-1,kin
STAT5A,1,tf
FBXO25_INHIBITED,-1,other
