gene_name	cluster
CILP	community_5
SFRP2	community_5
CES1	community_5
TPSAB1	community_5
TPSB2	community_5
LPCAT2	community_5
TPSD1	community_5
ARHGEF38	community_5
CST2	community_5
REEP6	community_5
HPX	community_5
OGN	community_5
AGR2	community_5
TFF3	community_5
MLPH	community_5
C4B_2	community_5
CPA3	community_5
CAPN8	community_5
SCGB2A2	community_5
TFF1	community_5
C9orf152	community_5
TMC5	community_5
AREG	community_5
SLC44A4	community_5
CLIC6	community_5
SCUBE2	community_5
FOXA1	community_5
