gene_name	cluster
TPRG1	community_3
CHAD	community_3
MALRD1	community_3
BMPR1B	community_3
CST9	community_3
ADCY1	community_3
RGS22	community_3
DNAJC12	community_3
LINC00993	community_3
NPY1R	community_3
NCAM2	community_3
UBXN10	community_3
FSIP1	community_3
TBC1D9	community_3
CST9L	community_3
ANKRD30A	community_3
KIF12	community_3
CXCL14	community_3
DNALI1	community_3
LONRF2	community_3
MIR6835	community_3
THSD4	community_3
MAGIX	community_3
GFRA1	community_3
NOVA1	community_3
ARSG	community_3
CLSTN2	community_3
CR1L	community_3
