UNIPROT	gene_name	mf	final_score	method
P10275	AR	tf	3.02725683334327	VIPER
P18848	ATF4	tf	2.45321438121647	VIPER
P18850	ATF6	tf	3.7464496737922	VIPER
Q99626	CDX2	tf	-3.70818100590106	VIPER
O00716	E2F3	tf	2.45046812949674	VIPER
Q16254	E2F4	tf	9.23784809384094	VIPER
P19419	ELK1	tf	2.32908288978381	VIPER
P15407	FOSL1	tf	2.20077997485316	VIPER
P23771	GATA3	rec	0	constrains
Q14526	HIC1	tf	-2.68856464974766	VIPER
SIGNOR-C418	HIF_1_COMPLEX	tf	3.08877388755181	VIPER
Q16665	HIF1A	tf	3.41783138293596	VIPER
P20823	HNF1A	tf	-3.25037016427125	VIPER
P41235	HNF4A	tf	-2.96126456365188	VIPER
P01106	MYC	tf	11.8784534206241	VIPER
P04198	MYCN	tf	3.48892327806524	VIPER
Q13469	NFATC2	tf	-2.40861350316759	VIPER
Q16236	NFE2L2	tf	4.50240369875613	VIPER
SIGNOR-C13	NFKB_P65_P50	tf	2.06217347426988	VIPER
P23511	NFYA	tf	2.44894095265737	VIPER
Q13285	NR5A1	tf	-2.21749278564617	VIPER
P26367	PAX6	tf	-2.46170714288351	VIPER
Q04206	RELA	tf	2.33869690015878	VIPER
SIGNOR-C104	RFX_COMPLEX	tf	3.69860315766453	VIPER
P48382	RFX5	tf	3.61489800229996	VIPER
SIGNOR-C73	SOX2_POU5F1	tf	-2.79897370981102	VIPER
P42224	STAT1	tf	3.33173419168695	VIPER
P40763	STAT3	tf	3.33749840417487	VIPER
P19532	TFE3	tf	3.7663919754405	VIPER
P19484	TFEB	tf	4.02709492469551	VIPER
P04637	TP53	rec	-1	constrains
P11473	VDR	tf	2.13427812333621	VIPER
P46937	YAP1	tf	2.06474885791916	VIPER
P14921	ETS1	tf	2.74258139802533	PhosphoScore
Q12778	FOXO1	tf	2.21320646305883	PhosphoScore
O14896	IRF6	tf	2.24258148739756	PhosphoScore
P06748	NPM1	tf	2.00380503682127	PhosphoScore
Q12888	TP53BP1	tf	1.97374723872573	PhosphoScore
P00519	ABL1	kin	2.54219246851667	VIPER
P27037	ACVR2A	kin	4.76962754638879	VIPER
Q13705	ACVR2B	kin	6.55501152480626	VIPER
P31749	AKT1	rec	0	constrains
P31751	AKT2	kin	-3.76294933530129	VIPER
Q9Y243	AKT3	kin	-4.02752015375421	VIPER
Q13315	ATM	rec	0	constrains
O14874	BCKDK	kin	4.68626862949519	VIPER
P51451	BLK	kin	2.24743225321967	VIPER
P36894	BMPR1A	kin	2.16489372676899	VIPER
Q13873	BMPR2	kin	2.98416831947217	VIPER
Q06187	BTK	kin	2.05102120709425	VIPER
O43683	BUB1	kin	2.52562284283558	VIPER
Q13557	CAMK2D	kin	2.70125100007104	VIPER
Q13555	CAMK2G	kin	3.69045735257777	VIPER
Q16566	CAMK4	kin	-0.164880171098487	VIPER
Q8N5S9	CAMKK1	kin	6.07638996017717	VIPER
Q96RR4	CAMKK2	kin	5.98044637680447	VIPER
Q15131	CDK10	kin	-5.68231344460367	VIPER
O94921	CDK14	kin	2.71482533655102	VIPER
Q9BWU1	CDK19	kin	3.76983331933435	VIPER
P24941	CDK2	kin	2.86964587921213	VIPER
P11802	CDK4	kin	2.16042021773042	VIPER
Q15078	CDK5R1	kin	-3.69514679843845	VIPER
Q00534	CDK6	kin	2.33579156388978	VIPER
P49336	CDK8	kin	4.18934603630253	VIPER
Q00532	CDKL1	kin	-4.63129794346931	VIPER
P49759	CLK1	kin	-14.0130806043623	VIPER
P49760	CLK2	kin	-17.0006959139685	VIPER
P49761	CLK3	kin	-12.8643787283865	VIPER
Q9HAZ1	CLK4	kin	-12.4837663812593	VIPER
Q6XUX3	DSTYK	kin	4.90653738330565	VIPER
Q13115	DUSP4	phos	-0.145778396063873	VIPER
Q13627	DYRK1A	kin	2.06071002580476	VIPER
Q9Y463	DYRK1B	kin	2.14880462719377	VIPER
Q92630	DYRK2	kin	2.91083524093691	VIPER
Q9NR20	DYRK4	kin	3.1617965104456	VIPER
P21709	EPHA1	kin	2.29270429047065	VIPER
P29320	EPHA3	kin	2.02567558610876	VIPER
P54756	EPHA5	kin	2.12695724446571	VIPER
Q15375	EPHA7	rec	0	constrains
P29322	EPHA8	kin	1.96456153002997	VIPER
P54762	EPHB1	kin	2.10407372333021	VIPER
P29323	EPHB2	kin	2.35976042161193	VIPER
P54753	EPHB3	kin	2.42844795900989	VIPER
P42685	FRK	kin	2.34079612675864	VIPER
P06241	FYN	kin	2.67721783932018	VIPER
Q15835	GRK1	kin	3.48637790150326	VIPER
P32298	GRK4	kin	5.86054030718943	VIPER
Q8TF76	HASPIN	kin	-3.33077316832483	VIPER
P08631	HCK	kin	2.38554690291133	VIPER
Q8NE63	HIPK4	kin	3.22029662990383	VIPER
P57058	HUNK	kin	2.74666755377323	VIPER
O14920	IKBKB	kin	2.14616339092199	VIPER
P51617	IRAK1	kin	3.55709450310011	VIPER
Q08881	ITK	kin	2.30939281283012	VIPER
O95835	LATS1	kin	-5.32543092911579	VIPER
Q9NRM7	LATS2	kin	-2.17441591052894	VIPER
P06239	LCK	kin	2.14070475264545	VIPER
P07948	LYN	kin	2.24205898332708	VIPER
Q99759	MAP3K3	kin	-0.34891439275152	VIPER
P28482	MAPK1	kin	2.43691784221315	VIPER
Q8TD08	MAPK15	kin	2.46885878710035	VIPER
P45983	MAPK8	kin	2.53462763310843	VIPER
P49137	MAPKAPK2	kin	-2.08330649791851	VIPER
Q9P0L2	MARK1	kin	-0.0783931936223163	VIPER
Q7KZI7	MARK2	kin	2.73388888292268	VIPER
Q6P0Q8	MAST2	kin	-7.78567521644475	VIPER
Q96GX5	MASTL	kin	3.30596967890315	VIPER
Q12866	MERTK	kin	2.62785301972503	VIPER
Q96PY6	NEK1	kin	2.47216698110685	VIPER
P51957	NEK4	kin	4.85573921046733	VIPER
Q6P3R8	NEK5	kin	2.13169660077724	VIPER
Q8TDX7	NEK7	kin	6.74453314756208	VIPER
Q8TD19	NEK9	kin	3.18427264138205	VIPER
Q9UBE8	NLK	kin	3.28463617933244	VIPER
P04629	NTRK1	kin	2.31435458617642	VIPER
Q96RG2	PASK	kin	-2.45832892410171	VIPER
Q15120	PDK3	kin	2.22404269216318	VIPER
Q8NEB9	PIK3C3	kin	-3.39126576361584	VIPER
P11309	PIM1	kin	-9.77311210168893	VIPER
Q9P1W9	PIM2	kin	-6.3780391982701	VIPER
Q86V86	PIM3	kin	-6.36341925304331	VIPER
P53350	PLK1	kin	8.69392736850446	VIPER
Q9NYY3	PLK2	kin	7.13861575281365	VIPER
Q9H4B4	PLK3	kin	7.49195140847958	VIPER
O00444	PLK4	kin	6.92309625308732	VIPER
P22694	PRKACB	kin	-1.25781123274561	VIPER
Q02156	PRKCE	kin	-0.839094523877049	VIPER
P51817	PRKX	kin	-8.65262362029406	VIPER
Q14289	PTK2B	kin	2.68596408751893	VIPER
P04049	RAF1	kin	2.54460044507955	VIPER
O43353	RIPK2	kin	6.04711866862719	VIPER
Q9Y572	RIPK3	kin	3.69330546728298	VIPER
P51812	RPS6KA3	kin	-2.75302059978879	VIPER
O00141	SGK1	kin	-2.98172841599697	VIPER
Q96Q15	SMG1	kin	10.8047392776917	VIPER
Q9H3Y6	SRMS	kin	2.50518918839778	VIPER
Q96SB4	SRPK1	kin	-11.6183349922978	VIPER
P78362	SRPK2	kin	-13.2013899031819	VIPER
Q9UPE1	SRPK3	kin	-12.0802357488514	VIPER
Q9UHD2	TBK1	kin	11.1751059343956	VIPER
P36897	TGFBR1	kin	5.14554398918867	VIPER
Q9UKI8	TLK1	kin	4.67815405308757	VIPER
Q86UE8	TLK2	kin	5.17940250214429	VIPER
Q13470	TNK1	kin	2.31241894049089	VIPER
Q07912	TNK2	kin	2.80070425022672	VIPER
Q5TCY1	TTBK1	kin	9.26801816497777	VIPER
Q6IQ55	TTBK2	kin	3.53539880742518	VIPER
P42681	TXK	kin	2.2548040300875	VIPER
Q06418	TYRO3	kin	2.01519297025485	VIPER
O75385	ULK1	kin	7.45062307272366	VIPER
Q8IYT8	ULK2	kin	3.81836932659437	VIPER
Q99986	VRK1	kin	2.82029076911294	VIPER
Q86Y07	VRK2	kin	2.35952937673016	VIPER
P07947	YES1	kin	2.41650037221532	VIPER
Q9UIG0	BAZ1B	kin	-2.54306312925653	PhosphoScore
P06493	CDK1	kin	-2.38588589338192	PhosphoScore
Q9Y259	CHKB	kin	-2.63935405616837	PhosphoScore
P45985	MAP2K4	rec	0	constrains
Q8WYL5	SSH1	phos	2.44069718937723	PhosphoScore
Q96J92	WNK4	kin	-2.25110749743428	PhosphoScore
Q02952	AKAP12	other	-2.17249479472286	PhosphoScore
Q9NRY4	ARHGAP35	other	2.29038976401587	PhosphoScore
Q8TDN4	CABLES1	other	-1.98376650475758	PhosphoScore
Q01518	CAP1	other	-2.06233103792077	PhosphoScore
P46108	CRK	other	-2.27880498766655	PhosphoScore
P26358	DNMT1	other	2.04229250585707	PhosphoScore
Q9H8V3	ECT2	other	-2.63550049230996	PhosphoScore
P23588	EIF4B	other	2.60583323923237	PhosphoScore
Q9UQC2	GAB2	other	2.37745622244166	PhosphoScore
P09651	HNRNPA1	other	2.88126152737961	PhosphoScore
P61978	HNRNPK	other	2.0885352721579	PhosphoScore
P33991	MCM4	other	3.13472969016606	PhosphoScore
P49768	PSEN1	other	-2.61786073243391	PhosphoScore
Q9BST9	RTKN	other	4.40818803672352	PhosphoScore
Q92504	SLC39A7	other	-2.34328484585165	PhosphoScore
Q16623	STX1A	other	-2.36127125423637	PhosphoScore
O94874	UFL1	other	-2.11628093193841	PhosphoScore
P46531	NOTCH1	rec	1	constraints
P42336	PIK3CA	rec	0	constraints
Q8N3U4	STAG2	rec	0	constraints
Q969H0	FBXW7	rec	0	constraints
Q9BX63	BRIP1	rec	0	constraints
P01112	HRAS	rec	0	constraints
Q9C0K0	BCL11B	rec	0	constraints
O14497	ARID1A	rec	0	constraints
Q9H3D4	TP63	rec	0	constraints
Q86YC2	PALB2	rec	0	constraints
Q8IXJ9	ASXL1	rec	0	constraints
Q68CP9	ARID2	rec	0	constraints
Q8N726	CDKN2A	rec	0	constraints
P42771	CDKN2A	rec	0	constraints
Q86Y01	DTX1	rec	0	constraints
Q09472	EP300	rec	0	constraints
P21860	ERBB3	rec	0	constraints
Q9UMN6	KMT2B	rec	0	constraints
Q8NEZ4	KMT2C	rec	0	constraints
P06401	PGR	rec	0	constraints
Q8IY92	SLX4	rec	0	constraints
P51532	SMARCA4	rec	0	constraints
Q13233	MAP3K1	rec	0	constraints
P60484	PTEN	rec	0	constraints
Q15911	ZFHX3	rec	0	constraints
P12830	CDH1	rec	0	constraints
Q93074	MED12	rec	0	constraints
Q9UMX1	SUFU	rec	0	constraints
Q96T58	SPEN	rec	0	constraints
P55317	FOXA1	rec	0	constraints
P61769	B2M	rec	0	constraints
Q5H9F3	BCORL1	rec	0	constraints
Q04721	NOTCH2	rec	0	constraints
P46063	RECQL	rec	0	constraints
Q8WXE1	ATRIP	rec	0	constraints
Q9UM47	NOTCH3	rec	0	constraints
Q9NZ71	RTEL1	rec	0	constraints
Q9NYV4	CDK12	rec	0	constraints
Q96RK0	CIC	rec	0	constraints
Q92793	CREBBP	rec	0	constraints
Q13227	GPS2	rec	0	constraints
O75533	SF3B1	rec	0	constraints
Q6UB99	ANKRD11	rec	0	constraints
O95999	BCL10	rec	0	constraints
P49711	CTCF	rec	0	constraints
O00255	MEN1	rec	0	constraints
O60934	NBN	rec	0	constraints
Q9BYW2	SETD2	rec	0	constraints
P84022	SMAD3	rec	0	constraints
Q9NQB0	TCF7L2	rec	0	constraints
Q9UER7	DAXX	rec	0	constraints
Q13951	CBFB	rec	0	constraints
P01116	KRAS	rec	0	constraints
O75376	NCOR1	rec	0	constraints
Q92574	TSC1	rec	0	constraints
P20936	RASA1	rec	0	constraints
O15119	TBX3	rec	0	constraints
NA	HIST1H3B	rec	0	constraints
P06400	RB1	rec	0	constraints
P46527	CDKN1B	rec	0	constraints
Q15831	STK11	rec	0	constraints
P18074	ERCC2	rec	0	constraints
Q13485	SMAD4	rec	0	constraints
Q9UIF7	MUTYH	rec	0	constraints
O43791	SPOP	rec	0	constraints
P05412	JUN	rec	0	constraints
Q8N1F7	NUP93	rec	0	constraints
P54277	PMS1	rec	0	constraints
Q15796	SMAD2	rec	0	constraints
Q9Y6K1	DNMT3A	rec	0	constraints
Q01196	RUNX1	rec	0	constraints
